,-5,-4,-3,-2,-1,+1,+2,+3,+4
P,0.89,1.34,0.56,1.24,3.94,0.55,1.68,1.93,1.56
G,0.62,0.92,0.16,0.17,0.73,3.57,1.48,1.32,1.40
A,0.49,1.52,0.12,0.43,0.76,1.23,1.12,0.97,1.09
C,0.12,0.33,0.14,0.26,0.18,0.46,0.51,0.75,0.41
S,0.56,1.09,0.42,1.00,1.04,1.68,1.50,1.39,2.18
T,0.22,1.16,0.18,0.53,0.77,1.27,1.29,1.05,2.34
V,0.04,0.31,0.16,0.22,0.66,0.63,0.76,0.75,0.49
I,0.16,0.83,0.03,0.15,0.50,0.62,0.34,0.53,0.53
L,0.11,0.26,0.03,0.22,1.23,0.55,0.53,0.63,0.65
M,0.39,0.98,0.10,0.54,0.81,0.69,0.98,0.70,0.61
F,0.26,0.51,0.03,0.57,0.63,0.49,0.58,0.64,0.58
Y,0.29,0.70,0.11,1.27,1.02,0.52,0.75,0.73,0.63
W,0.21,0.77,0.04,0.92,0.51,0.41,0.35,0.94,0.80
H,0.54,0.91,1.02,4.91,1.32,0.92,1.34,1.10,0.87
K,3.65,2.22,3.02,1.02,1.28,1.11,0.75,1.02,1.03
R,9.98,2.64,12.63,2.54,1.12,1.02,0.83,1.03,0.85
Q,0.67,1.49,0.80,1.63,1.11,1.36,1.37,1.49,1.14
N,0.42,1.04,0.29,1.58,1.13,1.08,1.08,1.04,0.97
D,0.20,0.46,0.13,0.40,0.69,0.95,1.19,1.30,1.19
E,0.17,0.58,0.02,0.40,0.57,0.89,0.62,0.69,0.68
pT,0.59,1.68,0.33,0.18,0.42,1.03,0.80,0.97,1.18
pY,0.99,1.62,0.31,1.12,1.47,0.68,1.20,1.35,0.94
