,-5,-4,-3,-2,-1,+1,+2,+3,+4
P,0.067639853,-0.10140007,-0.153348773,0.214828007,-0.658939966,-3.081658369,0.091017167,-0.209108875,-0.059844792
G,0.086633418,0.065783646,-0.239458315,0.14989044,-1.583631134,0.739860913,-0.554283821,-0.318046137,0.109507004
A,0.145319805,-0.005722497,-0.171483869,0.135813178,-0.827040536,0.617694798,-0.035750462,-0.575763858,-0.209350159
C,-0.515109055,-0.381470607,-0.198978615,-0.201923656,-0.514538755,-0.000630161,-0.268510501,-0.250367289,-0.242475881
S,-0.071919281,0.124096739,0.116150233,0.294583667,-1.05820685,0.408921064,0.308302212,-0.658382454,-0.029812482
T,0.087417238,-0.120141974,0.008065565,0.046751621,0.602230017,-0.288002542,0.324937653,-0.304284268,-0.15245047
V,-0.191457023,-0.213351455,-0.372372444,-0.24408921,0.903791985,-0.20832379,0.042464019,0.695497451,-0.23697291
I,-0.255740275,-0.293622369,-0.374653661,-0.440652362,1.172414825,-0.446390526,-0.146530343,1.07198798,-0.346953991
L,-0.109208717,-0.201966341,-0.31221226,-0.533017603,0.644864384,-0.416053428,-0.219862543,1.194869951,0.011822657
M,-0.128378054,-0.162866171,-0.096458835,-0.30376129,0.022080591,0.186097475,-0.176005633,-0.073103543,0.093333438
F,-0.26161295,-0.237523852,-0.025143249,-0.640923809,-0.221900446,-0.579771552,-0.238659764,0.521314025,-0.012492318
Y,0.31765931,0.43032655,0.538820896,0.274830385,0.290511736,0.362399695,0.215051447,0.797820496,0.352519295
W,-0.239607911,-0.052995179,0.040514005,-0.646356827,-0.252108115,0.128104052,-0.34716017,0.62910348,0.202431264
H,-0.155906146,0.110263879,-0.051187999,-0.221183083,-0.490381511,-0.417678851,-0.214860454,-0.115566801,-0.007220444
K,0.108631969,-0.053535309,-0.493699192,-0.239013017,-0.868887138,-1.6862947,-0.182146127,-0.831108079,0.232528924
R,0.127482307,-0.085481536,-0.425216537,-0.233231251,-0.965907761,-0.656513878,0.155495115,0.204696661,0.470505615
Q,0.198913599,0.212806951,0.133195263,0.214124755,-0.305469144,0.412452438,0.023522159,-0.697039681,0.101910133
N,0.082274496,0.097524246,0.263630507,0.258682014,-0.65612632,-0.345663548,-0.330991695,-0.575317304,0.041041128
D,0.263718193,0.098250417,0.476418925,0.480447416,-0.259802294,0.907321216,-0.387574217,-1.756392303,-0.229470468
E,0.305353434,0.319839357,0.520851965,0.462305249,0.282882016,0.640509818,0.257031761,-0.477975908,0.073160682
pT,0.106420489,-0.314632822,-0.027552677,0.23957798,1.092928988,-0.295238717,0.43885389,-1.534895608,-0.429918227
pY,-0.32127536,0.38942047,0.179200312,0.089598911,-0.420906449,-0.095329313,0.587476768,-1.282181548,-0.091049523
