GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (465),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
negative regulation of DNA duplex unwinding (GO:1905463),3,3,0.07,+,44.29,2.04E-04,9.85E-03
pre-replicative complex assembly involved in cell cycle DNA replication (GO:1902299),8,5,0.18,+,27.68,5.71E-06,4.46E-04
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267),8,5,0.18,+,27.68,5.71E-06,4.44E-04
fungiform papilla morphogenesis (GO:0061197),5,3,0.11,+,26.57,5.51E-04,2.31E-02
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968),13,7,0.29,+,23.85,1.48E-07,1.81E-05
nuclear cell cycle DNA replication initiation (GO:1902315),6,3,0.14,+,22.15,8.14E-04,3.27E-02
cell cycle DNA replication initiation (GO:1902292),6,3,0.14,+,22.15,8.14E-04,3.26E-02
regulation of DNA duplex unwinding (GO:1905462),6,3,0.14,+,22.15,8.14E-04,3.25E-02
bundle of His cell-Purkinje myocyte adhesion involved in cell communication (GO:0086073),6,3,0.14,+,22.15,8.14E-04,3.24E-02
fungiform papilla development (GO:0061196),6,3,0.14,+,22.15,8.14E-04,3.23E-02
mitotic DNA replication initiation (GO:1902975),6,3,0.14,+,22.15,8.14E-04,3.22E-02
mitotic spindle midzone assembly (GO:0051256),8,4,0.18,+,22.15,1.01E-04,5.32E-03
spindle elongation (GO:0051231),8,4,0.18,+,22.15,1.01E-04,5.30E-03
mitotic spindle elongation (GO:0000022),8,4,0.18,+,22.15,1.01E-04,5.29E-03
positive regulation of heterochromatin organization (GO:0120263),13,6,0.29,+,20.44,2.38E-06,2.21E-04
positive regulation of heterochromatin assembly (GO:0031453),13,6,0.29,+,20.44,2.38E-06,2.20E-04
positive regulation of DNA methylation-dependent heterochromatin assembly (GO:0090309),11,5,0.25,+,20.13,1.83E-05,1.22E-03
positive regulation of chromatin assembly or disassembly (GO:0045799),14,6,0.32,+,18.98,3.34E-06,2.87E-04
cardiac muscle cell-cardiac muscle cell adhesion (GO:0086042),7,3,0.16,+,18.98,1.14E-03,4.23E-02
double-strand break repair via break-induced replication (GO:0000727),12,5,0.27,+,18.45,2.55E-05,1.63E-03
spindle midzone assembly (GO:0051255),12,5,0.27,+,18.45,2.55E-05,1.62E-03
mitotic DNA replication (GO:1902969),13,5,0.29,+,17.03,3.47E-05,2.11E-03
DNA unwinding involved in DNA replication (GO:0006268),16,6,0.36,+,16.61,6.20E-06,4.77E-04
positive regulation of cytoplasmic translation (GO:2000767),12,4,0.27,+,14.76,3.46E-04,1.55E-02
positive regulation of DNA-dependent DNA replication (GO:2000105),12,4,0.27,+,14.76,3.46E-04,1.55E-02
"protein localization to chromosome, centromeric region (GO:0071459)",21,7,0.47,+,14.76,1.94E-06,1.89E-04
"negative regulation of mRNA splicing, via spliceosome (GO:0048025)",21,7,0.47,+,14.76,1.94E-06,1.88E-04
regulation of chromatin assembly (GO:0010847),21,7,0.47,+,14.76,1.94E-06,1.86E-04
regulation of DNA methylation-dependent heterochromatin assembly (GO:0090308),15,5,0.34,+,14.76,6.05E-05,3.50E-03
protein localization to kinetochore (GO:0034501),15,5,0.34,+,14.76,6.05E-05,3.48E-03
DNA strand elongation involved in DNA replication (GO:0006271),19,6,0.43,+,13.99,1.39E-05,9.58E-04
regulation of heterochromatin organization (GO:0120261),19,6,0.43,+,13.99,1.39E-05,9.54E-04
regulation of heterochromatin assembly (GO:0031445),19,6,0.43,+,13.99,1.39E-05,9.50E-04
negative regulation of RNA splicing (GO:0033119),26,8,0.59,+,13.63,5.83E-07,6.30E-05
regulation of RNA export from nucleus (GO:0046831),13,4,0.29,+,13.63,4.44E-04,1.91E-02
attachment of spindle microtubules to kinetochore (GO:0008608),23,7,0.52,+,13.48,3.21E-06,2.81E-04
negative regulation of mRNA processing (GO:0050686),30,9,0.68,+,13.29,1.36E-07,1.67E-05
nuclear pore organization (GO:0006999),14,4,0.32,+,12.65,5.61E-04,2.35E-02
regulation of chromatin assembly or disassembly (GO:0001672),26,7,0.59,+,11.92,6.35E-06,4.87E-04
regulation of single stranded viral RNA replication via double stranded DNA intermediate (GO:0045091),19,5,0.43,+,11.66,1.54E-04,7.65E-03
"positive regulation of DNA-templated transcription, elongation (GO:0032786)",27,7,0.61,+,11.48,7.85E-06,5.81E-04
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243),31,8,0.7,+,11.43,1.79E-06,1.77E-04
DNA strand elongation (GO:0022616),24,6,0.54,+,11.07,4.25E-05,2.54E-03
regulation of nucleobase-containing compound transport (GO:0032239),16,4,0.36,+,11.07,8.58E-04,3.38E-02
chromosome separation (GO:0051304),28,7,0.63,+,11.07,9.63E-06,6.97E-04
