GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (699),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
"negative regulation of wound healing, spreading of epidermal cells (GO:1903690)",4,3,0.14,+,22.1,1.12E-03,3.98E-02
positive regulation of miRNA mediated inhibition of translation (GO:1905618),7,4,0.24,+,16.84,3.16E-04,1.37E-02
regulation of miRNA mediated inhibition of translation (GO:1905616),7,4,0.24,+,16.84,3.16E-04,1.37E-02
nuclear pore complex assembly (GO:0051292),9,5,0.31,+,16.37,5.88E-05,3.16E-03
nuclear pore organization (GO:0006999),14,7,0.48,+,14.73,3.10E-06,2.45E-04
"regulation of wound healing, spreading of epidermal cells (GO:1903689)",8,4,0.27,+,14.73,4.62E-04,1.91E-02
primary miRNA processing (GO:0031053),11,5,0.37,+,13.39,1.21E-04,6.12E-03
rDNA heterochromatin assembly (GO:0000183),12,5,0.41,+,12.28,1.67E-04,8.03E-03
spliceosomal tri-snRNP complex assembly (GO:0000244),13,5,0.44,+,11.33,2.26E-04,1.03E-02
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431),34,11,1.15,+,9.53,1.62E-07,1.84E-05
tRNA export from nucleus (GO:0006409),34,11,1.15,+,9.53,1.62E-07,1.82E-05
pore complex assembly (GO:0046931),20,6,0.68,+,8.84,1.61E-04,7.78E-03
production of miRNAs involved in gene silencing by miRNA (GO:0035196),30,9,1.02,+,8.84,3.68E-06,2.85E-04
tRNA transport (GO:0051031),37,11,1.26,+,8.76,3.29E-07,3.44E-05
production of small RNA involved in gene silencing by RNA (GO:0070918),34,10,1.15,+,8.67,1.23E-06,1.14E-04
dsRNA processing (GO:0031050),34,10,1.15,+,8.67,1.23E-06,1.13E-04
ncRNA export from nucleus (GO:0097064),38,11,1.29,+,8.53,4.12E-07,4.11E-05
protein localization to cell-cell junction (GO:0150105),18,5,0.61,+,8.18,7.73E-04,3.01E-02
gene silencing by miRNA (GO:0035195),48,13,1.63,+,7.98,7.07E-08,8.38E-06
regulation of microtubule polymerization (GO:0031113),53,14,1.8,+,7.78,2.90E-08,3.66E-06
histone H3-K9 modification (GO:0061647),19,5,0.64,+,7.75,9.50E-04,3.53E-02
positive regulation of microtubule polymerization (GO:0031116),31,8,1.05,+,7.6,3.23E-05,1.88E-03
posttranscriptional gene silencing (GO:0016441),63,16,2.14,+,7.48,4.82E-09,6.73E-07
microtubule nucleation (GO:0007020),24,6,0.81,+,7.37,3.71E-04,1.58E-02
post-transcriptional gene silencing by RNA (GO:0035194),58,14,1.97,+,7.11,7.61E-08,8.96E-06
regulation of cardiac muscle cell action potential (GO:0098901),26,6,0.88,+,6.8,5.35E-04,2.18E-02
microtubule anchoring (GO:0034453),26,6,0.88,+,6.8,5.35E-04,2.17E-02
spliceosomal snRNP assembly (GO:0000387),39,9,1.32,+,6.8,2.24E-05,1.36E-03
positive regulation of microtubule polymerization or depolymerization (GO:0031112),35,8,1.19,+,6.73,6.79E-05,3.63E-03
regulation of gene silencing by RNA (GO:0060966),97,22,3.29,+,6.68,4.24E-11,7.97E-09
regulation of microtubule depolymerization (GO:0031114),31,7,1.05,+,6.65,2.07E-04,9.61E-03
negative regulation of microtubule depolymerization (GO:0007026),27,6,0.92,+,6.55,6.36E-04,2.54E-02
regulation of posttranscriptional gene silencing (GO:0060147),96,21,3.26,+,6.45,2.09E-10,3.55E-08
heterochromatin assembly (GO:0031507),28,6,0.95,+,6.31,7.51E-04,2.94E-02
regulation of gene silencing by miRNA (GO:0060964),94,20,3.19,+,6.27,8.59E-10,1.34E-07
histone H3-K4 methylation (GO:0051568),33,7,1.12,+,6.25,2.89E-04,1.26E-02
spleen development (GO:0048536),33,7,1.12,+,6.25,2.89E-04,1.26E-02
positive regulation of mRNA catabolic process (GO:0061014),53,11,1.8,+,6.12,6.72E-06,4.59E-04
positive regulation of gene silencing by miRNA (GO:2000637),29,6,0.98,+,6.1,8.81E-04,3.35E-02
beta-catenin-TCF complex assembly (GO:1904837),29,6,0.98,+,6.1,8.81E-04,3.34E-02
regulation of gene silencing (GO:0060968),116,24,3.94,+,6.1,2.95E-11,5.67E-09
regulation of cardiac muscle cell contraction (GO:0086004),34,7,1.15,+,6.07,3.39E-04,1.46E-02
DNA replication-independent nucleosome assembly (GO:0006336),39,8,1.32,+,6.04,1.31E-04,6.53E-03
heterochromatin organization (GO:0070828),39,8,1.32,+,6.04,1.31E-04,6.51E-03
intracellular transport of virus (GO:0075733),54,11,1.83,+,6,7.86E-06,5.25E-04
positive regulation of posttranscriptional gene silencing (GO:0060148),30,6,1.02,+,5.89,1.03E-03,3.73E-02
establishment of mitotic spindle localization (GO:0040001),35,7,1.19,+,5.89,3.95E-04,1.68E-02
protein sumoylation (GO:0016925),65,13,2.21,+,5.89,1.42E-06,1.28E-04
histone phosphorylation (GO:0016572),30,6,1.02,+,5.89,1.03E-03,3.72E-02
DNA replication-independent nucleosome organization (GO:0034724),40,8,1.36,+,5.89,1.53E-04,7.45E-03
transport of virus (GO:0046794),61,12,2.07,+,5.8,4.18E-06,3.13E-04
mitotic nuclear envelope reassembly (GO:0007084),51,10,1.73,+,5.78,2.71E-05,1.62E-03
mitotic nuclear membrane organization (GO:0101024),51,10,1.73,+,5.78,2.71E-05,1.62E-03
gene silencing by RNA (GO:0031047),87,17,2.95,+,5.76,4.71E-08,5.71E-06
establishment of spindle orientation (GO:0051294),36,7,1.22,+,5.73,4.59E-04,1.90E-02
regulation of androgen receptor signaling pathway (GO:0060765),36,7,1.22,+,5.73,4.59E-04,1.90E-02
centrosome localization (GO:0051642),31,6,1.05,+,5.7,1.19E-03,4.20E-02
multi-organism localization (GO:1902579),63,12,2.14,+,5.61,5.60E-06,3.91E-04
multi-organism transport (GO:0044766),63,12,2.14,+,5.61,5.60E-06,3.89E-04
cytoplasmic microtubule organization (GO:0031122),63,12,2.14,+,5.61,5.60E-06,3.87E-04
regulation of glycolytic process (GO:0006110),79,15,2.68,+,5.59,4.00E-07,4.02E-05
microtubule organizing center localization (GO:0061842),32,6,1.09,+,5.52,1.38E-03,4.81E-02
nuclear envelope reassembly (GO:0031468),54,10,1.83,+,5.46,4.16E-05,2.33E-03
regulation of microtubule polymerization or depolymerization (GO:0031110),83,15,2.82,+,5.32,6.96E-07,6.78E-05
regulation of carbohydrate catabolic process (GO:0043470),89,16,3.02,+,5.3,3.17E-07,3.33E-05
regulation of actin filament-based movement (GO:1903115),39,7,1.32,+,5.29,7.00E-04,2.77E-02
histone ubiquitination (GO:0016574),39,7,1.32,+,5.29,7.00E-04,2.76E-02
negative regulation of microtubule polymerization or depolymerization (GO:0031111),39,7,1.32,+,5.29,7.00E-04,2.75E-02
regulation of cellular response to heat (GO:1900034),79,14,2.68,+,5.22,2.00E-06,1.71E-04
nuclear membrane organization (GO:0071763),58,10,1.97,+,5.08,7.10E-05,3.77E-03
positive regulation of axon extension (GO:0045773),41,7,1.39,+,5.03,9.10E-04,3.43E-02
endosome to lysosome transport (GO:0008333),53,9,1.8,+,5,1.80E-04,8.52E-03
nuclear envelope organization (GO:0006998),83,14,2.82,+,4.97,3.34E-06,2.62E-04
negative regulation of protein depolymerization (GO:1901880),68,11,2.31,+,4.77,5.23E-05,2.85E-03
histone lysine methylation (GO:0034968),68,11,2.31,+,4.77,5.23E-05,2.84E-03
establishment of spindle localization (GO:0051293),50,8,1.7,+,4.71,5.83E-04,2.36E-02
nucleus organization (GO:0006997),145,23,4.92,+,4.67,7.22E-09,9.73E-07
spliceosomal complex assembly (GO:0000245),57,9,1.93,+,4.65,2.92E-04,1.27E-02
positive regulation of mRNA metabolic process (GO:1903313),85,13,2.88,+,4.51,1.90E-05,1.17E-03
vesicle coating (GO:0006901),67,10,2.27,+,4.4,2.06E-04,9.59E-03
negative regulation of viral genome replication (GO:0045071),54,8,1.83,+,4.36,9.16E-04,3.44E-02
import into nucleus (GO:0051170),115,17,3.9,+,4.36,1.57E-06,1.40E-04
actin filament bundle organization (GO:0061572),61,9,2.07,+,4.35,4.57E-04,1.90E-02
"regulation of mRNA splicing, via spliceosome (GO:0048024)",102,15,3.46,+,4.33,6.76E-06,4.58E-04
regulation of ATP metabolic process (GO:1903578),116,17,3.94,+,4.32,1.74E-06,1.53E-04
regulation of protein depolymerization (GO:1901879),89,13,3.02,+,4.3,2.93E-05,1.74E-03
protein import into nucleus (GO:0006606),96,14,3.26,+,4.3,1.48E-05,9.36E-04
spindle localization (GO:0051653),55,8,1.87,+,4.29,1.02E-03,3.72E-02
chromatin remodeling (GO:0006338),172,25,5.84,+,4.28,7.83E-09,1.05E-06
mRNA export from nucleus (GO:0006406),111,16,3.77,+,4.25,4.23E-06,3.13E-04
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427),111,16,3.77,+,4.25,4.23E-06,3.12E-04
regulation of viral genome replication (GO:0045069),84,12,2.85,+,4.21,7.15E-05,3.78E-03
"vesicle targeting, to, from or within Golgi (GO:0048199)",70,10,2.38,+,4.21,2.83E-04,1.24E-02
ATP-dependent chromatin remodeling (GO:0043044),77,11,2.61,+,4.21,1.42E-04,7.02E-03
vesicle targeting (GO:0006903),92,13,3.12,+,4.16,4.00E-05,2.24E-03
"RNA splicing, via transesterification reactions (GO:0000375)",305,43,10.35,+,4.15,7.93E-14,2.84E-11
