GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (713),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
negative regulation of hippo signaling (GO:0035331),13,6,0.45,+,13.33,2.57E-05,1.89E-03
glomerular visceral epithelial cell development (GO:0072015),11,4,0.38,+,10.5,1.26E-03,5.01E-02
microvillus assembly (GO:0030033),11,4,0.38,+,10.5,1.26E-03,4.99E-02
regulation of hippo signaling (GO:0035330),20,6,0.69,+,8.67,1.78E-04,1.01E-02
epithelial cell-cell adhesion (GO:0090136),18,5,0.62,+,8.02,8.43E-04,3.67E-02
protein localization to cell-cell junction (GO:0150105),18,5,0.62,+,8.02,8.43E-04,3.66E-02
glomerular visceral epithelial cell differentiation (GO:0072112),19,5,0.66,+,7.6,1.04E-03,4.27E-02
renal filtration cell differentiation (GO:0061318),19,5,0.66,+,7.6,1.04E-03,4.26E-02
cell-substrate junction organization (GO:0150115),43,11,1.49,+,7.39,1.41E-06,1.71E-04
establishment of monopolar cell polarity (GO:0061162),24,6,0.83,+,7.22,4.11E-04,2.07E-02
glomerular epithelial cell differentiation (GO:0072311),20,5,0.69,+,7.22,1.26E-03,5.00E-02
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197),44,11,1.52,+,7.22,1.70E-06,2.00E-04
negative regulation of stress fiber assembly (GO:0051497),28,7,0.97,+,7.22,1.35E-04,8.04E-03
focal adhesion assembly (GO:0048041),28,7,0.97,+,7.22,1.35E-04,8.01E-03
establishment or maintenance of monopolar cell polarity (GO:0061339),25,6,0.87,+,6.93,4.95E-04,2.36E-02
cell-substrate junction assembly (GO:0007044),42,10,1.45,+,6.88,7.33E-06,6.47E-04
nucleus localization (GO:0051647),26,6,0.9,+,6.67,5.92E-04,2.75E-02
establishment of epithelial cell polarity (GO:0090162),31,7,1.07,+,6.52,2.33E-04,1.26E-02
negative regulation of actin filament bundle assembly (GO:0032232),31,7,1.07,+,6.52,2.33E-04,1.26E-02
establishment or maintenance of apical/basal cell polarity (GO:0035088),49,11,1.7,+,6.48,4.19E-06,4.19E-04
establishment or maintenance of bipolar cell polarity (GO:0061245),49,11,1.7,+,6.48,4.19E-06,4.17E-04
melanosome organization (GO:0032438),27,6,0.93,+,6.42,7.03E-04,3.17E-02
regulation of focal adhesion assembly (GO:0051893),65,14,2.25,+,6.22,3.23E-07,5.16E-05
regulation of cell-substrate junction assembly (GO:0090109),65,14,2.25,+,6.22,3.23E-07,5.11E-05
pigment granule organization (GO:0048753),28,6,0.97,+,6.19,8.30E-04,3.63E-02
regulation of cell-substrate junction organization (GO:0150116),70,15,2.42,+,6.19,1.30E-07,2.39E-05
cortical actin cytoskeleton organization (GO:0030866),38,8,1.32,+,6.08,1.28E-04,7.66E-03
regulation of stress fiber assembly (GO:0051492),90,18,3.12,+,5.78,1.86E-08,4.53E-06
negative regulation of cell junction assembly (GO:1901889),30,6,1.04,+,5.78,1.14E-03,4.63E-02
Golgi to plasma membrane protein transport (GO:0043001),30,6,1.04,+,5.78,1.14E-03,4.62E-02
positive regulation of axon extension (GO:0045773),42,8,1.45,+,5.5,2.34E-04,1.26E-02
regulation of actin filament bundle assembly (GO:0032231),102,19,3.53,+,5.38,2.06E-08,4.94E-06
regulation of cell migration involved in sprouting angiogenesis (GO:0090049),38,7,1.32,+,5.32,6.84E-04,3.11E-02
ncRNA export from nucleus (GO:0097064),38,7,1.32,+,5.32,6.84E-04,3.10E-02
