GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (1189),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
histone H3-K4 dimethylation (GO:0044648),6,5,0.35,+,14.43,1.68E-04,6.38E-03
histone H3-K4 monomethylation (GO:0097692),8,6,0.46,+,12.99,5.36E-05,2.34E-03
positive regulation of DNA methylation-dependent heterochromatin assembly (GO:0090309),11,8,0.64,+,12.6,3.39E-06,2.04E-04
regulation of ribonucleoprotein complex localization (GO:2000197),6,4,0.35,+,11.55,1.42E-03,4.05E-02
positive regulation of heterochromatin organization (GO:0120263),13,8,0.75,+,10.66,8.27E-06,4.62E-04
positive regulation of heterochromatin assembly (GO:0031453),13,8,0.75,+,10.66,8.27E-06,4.61E-04
positive regulation of chromatin assembly or disassembly (GO:0045799),14,8,0.81,+,9.9,1.24E-05,6.53E-04
regulation of DNA methylation-dependent heterochromatin assembly (GO:0090308),15,8,0.87,+,9.24,1.81E-05,8.99E-04
"negative regulation of mRNA splicing, via spliceosome (GO:0048025)",21,11,1.21,+,9.07,5.46E-07,3.71E-05
histone H2B ubiquitination (GO:0033523),10,5,0.58,+,8.66,9.10E-04,2.79E-02
desmosome organization (GO:0002934),10,5,0.58,+,8.66,9.10E-04,2.79E-02
keratinocyte development (GO:0003334),10,5,0.58,+,8.66,9.10E-04,2.78E-02
regulation of chromatin assembly (GO:0010847),21,10,1.21,+,8.25,3.49E-06,2.10E-04
regulation of heterochromatin organization (GO:0120261),19,9,1.1,+,8.2,1.12E-05,6.01E-04
regulation of heterochromatin assembly (GO:0031445),19,9,1.1,+,8.2,1.12E-05,5.99E-04
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968),13,6,0.75,+,7.99,3.83E-04,1.30E-02
regulation of chromatin assembly or disassembly (GO:0001672),26,12,1.5,+,7.99,4.77E-07,3.34E-05
negative regulation of RNA splicing (GO:0033119),26,12,1.5,+,7.99,4.77E-07,3.33E-05
cellular hyperosmotic response (GO:0071474),11,5,0.64,+,7.87,1.27E-03,3.67E-02
beta-catenin-TCF complex assembly (GO:1904837),29,13,1.67,+,7.76,2.07E-07,1.52E-05
histone H3-K4 trimethylation (GO:0080182),16,7,0.92,+,7.58,1.60E-04,6.19E-03
nuclear pore organization (GO:0006999),14,6,0.81,+,7.42,5.22E-04,1.70E-02
regulation of keratinocyte migration (GO:0051547),14,6,0.81,+,7.42,5.22E-04,1.70E-02
protein localization to endosome (GO:0036010),12,5,0.69,+,7.22,1.71E-03,4.71E-02
regulation of protein folding (GO:1903332),12,5,0.69,+,7.22,1.71E-03,4.71E-02
negative regulation of mRNA processing (GO:0050686),30,12,1.73,+,6.93,1.59E-06,1.01E-04
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211),16,6,0.92,+,6.5,9.14E-04,2.79E-02
mRNA splice site selection (GO:0006376),32,12,1.85,+,6.5,2.74E-06,1.68E-04
positive regulation of RNA splicing (GO:0033120),38,14,2.19,+,6.38,4.84E-07,3.35E-05
peptidyl-lysine dimethylation (GO:0018027),19,7,1.1,+,6.38,3.73E-04,1.28E-02
regulation of ARF protein signal transduction (GO:0032012),19,7,1.1,+,6.38,3.73E-04,1.27E-02
histone H3-K4 methylation (GO:0051568),33,12,1.91,+,6.3,3.55E-06,2.12E-04
mRNA transcription (GO:0009299),17,6,0.98,+,6.11,1.18E-03,3.46E-02
"positive regulation of mRNA splicing, via spliceosome (GO:0048026)",23,8,1.33,+,6.02,1.97E-04,7.33E-03
NADH regeneration (GO:0006735),27,9,1.56,+,5.77,1.03E-04,4.18E-03
"mRNA cis splicing, via spliceosome (GO:0045292)",21,7,1.21,+,5.77,6.10E-04,1.96E-02
"positive regulation of DNA-templated transcription, elongation (GO:0032786)",27,9,1.56,+,5.77,1.03E-04,4.17E-03
"alternative mRNA splicing, via spliceosome (GO:0000380)",21,7,1.21,+,5.77,6.10E-04,1.96E-02
glucose catabolic process to pyruvate (GO:0061718),27,9,1.56,+,5.77,1.03E-04,4.16E-03
canonical glycolysis (GO:0061621),27,9,1.56,+,5.77,1.03E-04,4.15E-03
positive regulation of mRNA processing (GO:0050685),33,11,1.91,+,5.77,1.77E-05,8.90E-04
protein localization to cell-cell junction (GO:0150105),18,6,1.04,+,5.77,1.50E-03,4.22E-02
glycolytic process through glucose-6-phosphate (GO:0061620),28,9,1.62,+,5.57,1.29E-04,5.09E-03
glycolytic process through fructose-6-phosphate (GO:0061615),28,9,1.62,+,5.57,1.29E-04,5.08E-03
DNA double-strand break processing (GO:0000729),22,7,1.27,+,5.51,7.66E-04,2.39E-02
ncRNA export from nucleus (GO:0097064),38,12,2.19,+,5.47,1.16E-05,6.20E-04
histone monoubiquitination (GO:0010390),29,9,1.67,+,5.38,1.61E-04,6.21E-03
peptidyl-lysine trimethylation (GO:0018023),33,10,1.91,+,5.25,8.30E-05,3.47E-03
cellular response to gamma radiation (GO:0071480),30,9,1.73,+,5.2,2.00E-04,7.43E-03
mRNA export from nucleus (GO:0006406),111,33,6.41,+,5.15,1.40E-12,2.08E-10
