GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (1322),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
"negative regulation of wound healing, spreading of epidermal cells (GO:1903690)",4,4,0.26,+,15.58,7.58E-04,2.25E-02
regulation of basement membrane organization (GO:0110011),5,4,0.32,+,12.46,1.30E-03,3.57E-02
positive regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904261),5,4,0.32,+,12.46,1.30E-03,3.56E-02
regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904259),5,4,0.32,+,12.46,1.30E-03,3.56E-02
collateral sprouting (GO:0048668),7,5,0.45,+,11.13,4.39E-04,1.41E-02
protein desumoylation (GO:0016926),8,5,0.51,+,9.74,6.78E-04,2.06E-02
entry of bacterium into host cell (GO:0035635),8,5,0.51,+,9.74,6.78E-04,2.05E-02
nuclear pore complex assembly (GO:0051292),9,5,0.58,+,8.65,1.00E-03,2.84E-02
negative regulation of hippo signaling (GO:0035331),13,7,0.83,+,8.39,1.10E-04,4.19E-03
regulation of microtubule depolymerization (GO:0031114),31,15,1.99,+,7.54,4.08E-08,3.37E-06
negative regulation of microtubule depolymerization (GO:0007026),27,13,1.73,+,7.5,3.43E-07,2.32E-05
protein localization to microtubule (GO:0035372),13,6,0.83,+,7.19,6.53E-04,1.99E-02
protein localization to cell-cell junction (GO:0150105),18,8,1.16,+,6.92,1.01E-04,3.87E-03
actin crosslink formation (GO:0051764),14,6,0.9,+,6.68,8.86E-04,2.58E-02
hippo signaling (GO:0035329),28,12,1.8,+,6.68,2.54E-06,1.44E-04
P-body assembly (GO:0033962),14,6,0.9,+,6.68,8.86E-04,2.58E-02
"positive regulation of DNA-templated transcription, elongation (GO:0032786)",27,11,1.73,+,6.35,9.78E-06,4.91E-04
stress granule assembly (GO:0034063),20,8,1.28,+,6.23,1.80E-04,6.35E-03
regulation of hippo signaling (GO:0035330),20,8,1.28,+,6.23,1.80E-04,6.33E-03
B cell homeostasis (GO:0001782),24,9,1.54,+,5.84,1.06E-04,4.04E-03
regulation of nucleobase-containing compound transport (GO:0032239),16,6,1.03,+,5.84,1.54E-03,4.06E-02
positive regulation of vascular associated smooth muscle cell migration (GO:1904754),16,6,1.03,+,5.84,1.54E-03,4.06E-02
negative regulation of stress fiber assembly (GO:0051497),27,10,1.73,+,5.77,4.79E-05,2.04E-03
regulation of heterochromatin organization (GO:0120261),19,7,1.22,+,5.74,6.81E-04,2.06E-02
regulation of ARF protein signal transduction (GO:0032012),19,7,1.22,+,5.74,6.81E-04,2.05E-02
regulation of heterochromatin assembly (GO:0031445),19,7,1.22,+,5.74,6.81E-04,2.05E-02
dendritic spine morphogenesis (GO:0060997),19,7,1.22,+,5.74,6.81E-04,2.05E-02
negative regulation of actin filament bundle assembly (GO:0032232),30,11,1.93,+,5.71,2.17E-05,1.02E-03
phosphatidylinositol dephosphorylation (GO:0046856),31,11,1.99,+,5.53,2.78E-05,1.26E-03
pore complex assembly (GO:0046931),20,7,1.28,+,5.45,8.72E-04,2.55E-02
regulation of chromatin assembly or disassembly (GO:0001672),26,9,1.67,+,5.39,1.74E-04,6.19E-03
dendritic spine development (GO:0060996),29,10,1.86,+,5.37,7.83E-05,3.13E-03
activation of JUN kinase activity (GO:0007257),41,14,2.63,+,5.32,3.32E-06,1.84E-04
positive regulation of JUN kinase activity (GO:0043507),69,23,4.43,+,5.19,3.72E-09,3.72E-07
negative regulation of microtubule polymerization or depolymerization (GO:0031111),39,13,2.5,+,5.19,9.18E-06,4.66E-04
regulation of chromatin assembly (GO:0010847),21,7,1.35,+,5.19,1.10E-03,3.11E-02
activation of MAPKK activity (GO:0000186),56,18,3.59,+,5.01,2.85E-07,1.97E-05
regulation of establishment of cell polarity (GO:2000114),22,7,1.41,+,4.96,1.38E-03,3.74E-02
regulation of vascular associated smooth muscle cell migration (GO:1904752),22,7,1.41,+,4.96,1.38E-03,3.74E-02
"regulation of DNA-templated transcription, elongation (GO:0032784)",52,16,3.34,+,4.79,2.09E-06,1.21E-04
positive regulation of insulin receptor signaling pathway (GO:0046628),23,7,1.48,+,4.74,1.71E-03,4.46E-02
negative regulation of mRNA processing (GO:0050686),30,9,1.93,+,4.67,4.20E-04,1.36E-02
histone lysine demethylation (GO:0070076),30,9,1.93,+,4.67,4.20E-04,1.36E-02
G2 DNA damage checkpoint (GO:0031572),34,10,2.18,+,4.58,2.32E-04,7.94E-03
regulation of JUN kinase activity (GO:0043506),85,25,5.46,+,4.58,6.59E-09,6.30E-07
negative regulation of organ growth (GO:0046621),31,9,1.99,+,4.52,5.13E-04,1.62E-02
neurotrophin signaling pathway (GO:0038179),28,8,1.8,+,4.45,1.14E-03,3.19E-02
aggrephagy (GO:0035973),28,8,1.8,+,4.45,1.14E-03,3.18E-02
histone demethylation (GO:0016577),32,9,2.05,+,4.38,6.22E-04,1.92E-02
dendritic spine organization (GO:0097061),32,9,2.05,+,4.38,6.22E-04,1.92E-02
epidermal growth factor receptor signaling pathway (GO:0007173),50,14,3.21,+,4.36,2.19E-05,1.02E-03
positive regulation of excitatory postsynaptic potential (GO:2000463),29,8,1.86,+,4.3,1.38E-03,3.75E-02
beta-catenin-TCF complex assembly (GO:1904837),29,8,1.86,+,4.3,1.38E-03,3.74E-02
activation of GTPase activity (GO:0090630),116,31,7.45,+,4.16,7.60E-10,8.63E-08
histone H3 acetylation (GO:0043966),45,12,2.89,+,4.15,1.24E-04,4.64E-03
phospholipid dephosphorylation (GO:0046839),45,12,2.89,+,4.15,1.24E-04,4.62E-03
negative regulation of protein-containing complex disassembly (GO:0043242),79,21,5.07,+,4.14,4.36E-07,2.91E-05
negative regulation of protein depolymerization (GO:1901880),68,18,4.36,+,4.12,3.01E-06,1.67E-04
protein demethylation (GO:0006482),34,9,2.18,+,4.12,8.99E-04,2.60E-02
protein dealkylation (GO:0008214),34,9,2.18,+,4.12,8.99E-04,2.60E-02
Rho protein signal transduction (GO:0007266),61,16,3.92,+,4.09,1.16E-05,5.81E-04
regulation of microtubule cytoskeleton organization (GO:0070507),141,36,9.05,+,3.98,9.81E-11,1.32E-08
regulation of microtubule polymerization or depolymerization (GO:0031110),83,21,5.33,+,3.94,8.65E-07,5.48E-05
negative regulation of macroautophagy (GO:0016242),36,9,2.31,+,3.89,1.27E-03,3.51E-02
actin filament bundle organization (GO:0061572),61,15,3.92,+,3.83,4.10E-05,1.77E-03
regulation of small GTPase mediated signal transduction (GO:0051056),327,79,20.99,+,3.76,1.03E-20,4.77E-18
actin filament bundle assembly (GO:0051017),58,14,3.72,+,3.76,8.71E-05,3.41E-03
