GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (928),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
positive regulation of blood-brain barrier permeability (GO:1905605),5,4,0.23,+,17.75,3.64E-04,1.35E-02
positive regulation of focal adhesion disassembly (GO:0120183),6,4,0.27,+,14.8,5.85E-04,2.04E-02
regulation of focal adhesion disassembly (GO:0120182),6,4,0.27,+,14.8,5.85E-04,2.04E-02
Golgi to endosome transport (GO:0006895),17,9,0.77,+,11.75,7.98E-07,6.42E-05
establishment of endothelial intestinal barrier (GO:0090557),12,6,0.54,+,11.1,7.51E-05,3.42E-03
regulation of blood-brain barrier permeability (GO:1905603),8,4,0.36,+,11.1,1.29E-03,3.96E-02
establishment or maintenance of cytoskeleton polarity (GO:0030952),8,4,0.36,+,11.1,1.29E-03,3.95E-02
entry of bacterium into host cell (GO:0035635),8,4,0.36,+,11.1,1.29E-03,3.94E-02
positive regulation of neuron projection arborization (GO:0150012),8,4,0.36,+,11.1,1.29E-03,3.94E-02
negative regulation of hippo signaling (GO:0035331),13,6,0.59,+,10.24,1.06E-04,4.57E-03
planar cell polarity pathway involved in neural tube closure (GO:0090179),11,5,0.5,+,10.09,4.33E-04,1.58E-02
regulation of ARF protein signal transduction (GO:0032012),19,8,0.86,+,9.34,1.24E-05,6.95E-04
protein localization to cell-cell junction (GO:0150105),18,7,0.81,+,8.63,6.58E-05,3.04E-03
regulation of establishment of planar polarity involved in neural tube closure (GO:0090178),13,5,0.59,+,8.54,7.90E-04,2.67E-02
regulation of RNA export from nucleus (GO:0046831),13,5,0.59,+,8.54,7.90E-04,2.67E-02
actin crosslink formation (GO:0051764),14,5,0.63,+,7.93,1.03E-03,3.31E-02
apical protein localization (GO:0045176),15,5,0.68,+,7.4,1.33E-03,4.05E-02
positive regulation of microtubule polymerization (GO:0031116),31,10,1.4,+,7.16,7.01E-06,4.30E-04
regulation of microtubule depolymerization (GO:0031114),31,10,1.4,+,7.16,7.01E-06,4.29E-04
positive regulation of microtubule polymerization or depolymerization (GO:0031112),35,11,1.58,+,6.97,3.01E-06,2.12E-04
regulation of nucleobase-containing compound transport (GO:0032239),16,5,0.72,+,6.94,1.68E-03,4.94E-02
positive regulation of vascular associated smooth muscle cell migration (GO:1904754),16,5,0.72,+,6.94,1.68E-03,4.93E-02
stress granule assembly (GO:0034063),20,6,0.9,+,6.66,6.93E-04,2.40E-02
regulation of hippo signaling (GO:0035330),20,6,0.9,+,6.66,6.93E-04,2.39E-02
negative regulation of stress fiber assembly (GO:0051497),27,8,1.22,+,6.58,9.66E-05,4.22E-03
centrosome localization (GO:0051642),31,9,1.4,+,6.44,4.05E-05,1.97E-03
actin filament-based transport (GO:0099515),21,6,0.95,+,6.34,8.59E-04,2.84E-02
beta-catenin destruction complex disassembly (GO:1904886),21,6,0.95,+,6.34,8.59E-04,2.83E-02
regulation of microtubule polymerization (GO:0031113),53,15,2.39,+,6.28,1.54E-07,1.53E-05
microtubule organizing center localization (GO:0061842),32,9,1.44,+,6.24,5.00E-05,2.38E-03
regulation of sister chromatid cohesion (GO:0007063),22,6,0.99,+,6.05,1.05E-03,3.36E-02
negative regulation of Rho protein signal transduction (GO:0035024),22,6,0.99,+,6.05,1.05E-03,3.35E-02
negative regulation of actin filament bundle assembly (GO:0032232),30,8,1.35,+,5.92,1.79E-04,7.20E-03
establishment of endothelial barrier (GO:0061028),34,9,1.53,+,5.87,7.44E-05,3.40E-03
negative regulation of microtubule depolymerization (GO:0007026),27,7,1.22,+,5.75,5.25E-04,1.86E-02
ruffle organization (GO:0031529),27,7,1.22,+,5.75,5.25E-04,1.86E-02
regulation of microtubule polymerization or depolymerization (GO:0031110),83,21,3.74,+,5.62,2.90E-09,4.40E-07
