GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (342),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
regulation of cohesin loading (GO:0071922),5,3,0.08,+,36.13,2.28E-04,2.49E-02
regulation of basement membrane organization (GO:0110011),5,3,0.08,+,36.13,2.28E-04,2.48E-02
positive regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904261),5,3,0.08,+,36.13,2.28E-04,2.46E-02
regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904259),5,3,0.08,+,36.13,2.28E-04,2.44E-02
regulation of microtubule depolymerization (GO:0031114),31,7,0.51,+,13.6,2.38E-06,1.02E-03
protein localization to cell-cell junction (GO:0150105),18,4,0.3,+,13.38,4.05E-04,3.70E-02
establishment of monopolar cell polarity (GO:0061162),24,5,0.4,+,12.55,9.72E-05,1.34E-02
establishment or maintenance of monopolar cell polarity (GO:0061339),25,5,0.42,+,12.04,1.15E-04,1.51E-02
negative regulation of microtubule depolymerization (GO:0007026),27,5,0.45,+,11.15,1.58E-04,1.97E-02
negative regulation of microtubule polymerization or depolymerization (GO:0031111),39,6,0.65,+,9.26,8.65E-05,1.24E-02
regulation of DNA-dependent DNA replication (GO:0090329),49,6,0.81,+,7.37,2.69E-04,2.72E-02
regulation of microtubule polymerization (GO:0031113),53,6,0.88,+,6.82,3.95E-04,3.62E-02
cellular component maintenance (GO:0043954),55,6,0.91,+,6.57,4.74E-04,4.13E-02
regulation of microtubule polymerization or depolymerization (GO:0031110),83,9,1.38,+,6.53,1.97E-05,4.25E-03
establishment of cell polarity (GO:0030010),119,12,1.98,+,6.07,1.66E-06,7.48E-04
negative regulation of phosphatase activity (GO:0010923),108,10,1.79,+,5.58,2.43E-05,4.91E-03
regulation of protein depolymerization (GO:1901879),89,8,1.48,+,5.41,1.91E-04,2.18E-02
regulation of stress fiber assembly (GO:0051492),89,8,1.48,+,5.41,1.91E-04,2.17E-02
regulation of actin filament bundle assembly (GO:0032231),101,9,1.68,+,5.37,8.14E-05,1.18E-02
negative regulation of chromosome organization (GO:2001251),79,7,1.31,+,5.34,5.19E-04,4.38E-02
negative regulation of protein-containing complex disassembly (GO:0043242),79,7,1.31,+,5.34,5.19E-04,4.36E-02
negative regulation of dephosphorylation (GO:0035305),114,10,1.89,+,5.28,3.73E-05,6.61E-03
cell-cell junction assembly (GO:0007043),127,11,2.11,+,5.22,1.71E-05,3.85E-03
regulation of microtubule cytoskeleton organization (GO:0070507),141,12,2.34,+,5.13,8.38E-06,2.49E-03
regulation of actomyosin structure organization (GO:0110020),97,8,1.61,+,4.97,3.29E-04,3.19E-02
cell-cell junction organization (GO:0045216),186,14,3.09,+,4.53,5.66E-06,1.86E-03
regulation of protein-containing complex disassembly (GO:0043244),124,9,2.06,+,4.37,3.44E-04,3.25E-02
establishment or maintenance of cell polarity (GO:0007163),195,14,3.24,+,4.32,9.38E-06,2.74E-03
cell junction assembly (GO:0034329),280,19,4.65,+,4.09,5.41E-07,2.66E-04
mitotic spindle organization (GO:0007052),164,11,2.72,+,4.04,1.49E-04,1.90E-02
mitotic prometaphase (GO:0000236),167,11,2.77,+,3.97,1.73E-04,2.05E-02
negative regulation of cytoskeleton organization (GO:0051494),152,10,2.52,+,3.96,3.42E-04,3.25E-02
negative regulation of supramolecular fiber organization (GO:1902904),154,10,2.56,+,3.91,3.77E-04,3.50E-02
microtubule cytoskeleton organization involved in mitosis (GO:1902850),185,12,3.07,+,3.91,1.02E-04,1.37E-02
cellular response to insulin stimulus (GO:0032869),173,11,2.87,+,3.83,2.31E-04,2.46E-02
spindle organization (GO:0007051),225,14,3.74,+,3.75,4.19E-05,7.10E-03
mitotic nuclear division (GO:0140014),209,13,3.47,+,3.75,7.86E-05,1.16E-02
regulation of supramolecular fiber organization (GO:1902903),375,23,6.23,+,3.69,1.89E-07,1.15E-04
regulation of Ras protein signal transduction (GO:0046578),198,12,3.29,+,3.65,1.85E-04,2.15E-02
positive regulation of cell cycle process (GO:0090068),296,17,4.92,+,3.46,1.71E-05,3.81E-03
regulation of chromosome organization (GO:0033044),283,16,4.7,+,3.4,3.62E-05,6.49E-03
regulation of protein polymerization (GO:0032271),232,13,3.85,+,3.37,2.10E-04,2.35E-02
regulation of small GTPase mediated signal transduction (GO:0051056),327,18,5.43,+,3.31,1.67E-05,3.81E-03
biological phase (GO:0044848),257,14,4.27,+,3.28,1.60E-04,1.95E-02
mitotic cell cycle phase (GO:0098763),257,14,4.27,+,3.28,1.60E-04,1.94E-02
cell cycle phase (GO:0022403),257,14,4.27,+,3.28,1.60E-04,1.92E-02
regulation of actin filament organization (GO:0110053),276,15,4.58,+,3.27,9.61E-05,1.34E-02
negative regulation of organelle organization (GO:0010639),332,18,5.51,+,3.26,2.02E-05,4.25E-03
positive regulation of cell cycle (GO:0045787),391,21,6.49,+,3.23,4.75E-06,1.67E-03
positive regulation of cellular protein localization (GO:1903829),301,16,5,+,3.2,7.25E-05,1.10E-02
actin cytoskeleton organization (GO:0030036),524,27,8.7,+,3.1,4.43E-07,2.33E-04
cytoskeleton organization (GO:0007010),1204,62,19.99,+,3.1,5.63E-15,8.89E-11
microtubule cytoskeleton organization (GO:0000226),566,29,9.4,+,3.09,1.83E-07,1.15E-04
cell cycle phase transition (GO:0044770),293,15,4.87,+,3.08,1.79E-04,2.09E-02
DNA conformation change (GO:0071103),313,16,5.2,+,3.08,1.12E-04,1.48E-02
cellular response to peptide hormone stimulus (GO:0071375),274,14,4.55,+,3.08,2.98E-04,2.94E-02
cellular response to peptide (GO:1901653),334,17,5.55,+,3.07,7.21E-05,1.10E-02
actin filament-based process (GO:0030029),598,30,9.93,+,3.02,1.71E-07,1.13E-04
