GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (701),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
intermediate filament bundle assembly (GO:0045110),7,5,0.24,+,20.99,2.49E-05,2.69E-03
regulation of guanyl-nucleotide exchange factor activity (GO:1905097),9,5,0.31,+,16.32,5.96E-05,5.08E-03
desmosome organization (GO:0002934),10,5,0.34,+,14.69,8.69E-05,6.82E-03
regulation of GTP binding (GO:1904424),15,6,0.51,+,11.75,4.42E-05,4.11E-03
post-embryonic animal morphogenesis (GO:0009886),14,5,0.48,+,10.49,3.02E-04,1.87E-02
stress granule assembly (GO:0034063),20,7,0.68,+,10.28,2.03E-05,2.32E-03
nuclear migration (GO:0007097),20,7,0.68,+,10.28,2.03E-05,2.30E-03
negative regulation of sodium ion transport (GO:0010766),19,6,0.65,+,9.28,1.29E-04,9.21E-03
intermediate filament cytoskeleton organization (GO:0045104),51,15,1.74,+,8.64,2.81E-09,1.43E-06
intermediate filament organization (GO:0045109),24,7,0.82,+,8.57,5.36E-05,4.80E-03
intermediate filament-based process (GO:0045103),52,15,1.77,+,8.47,3.51E-09,1.68E-06
nucleus localization (GO:0051647),26,7,0.88,+,7.91,8.22E-05,6.52E-03
"retrograde transport, endosome to plasma membrane (GO:1990126)",28,6,0.95,+,6.3,7.62E-04,3.91E-02
actin cytoskeleton reorganization (GO:0031532),67,14,2.28,+,6.14,3.65E-07,8.87E-05
negative regulation of mRNA processing (GO:0050686),30,6,1.02,+,5.88,1.04E-03,4.93E-02
production of miRNAs involved in gene silencing by miRNA (GO:0035196),30,6,1.02,+,5.88,1.04E-03,4.91E-02
cornification (GO:0070268),113,21,3.85,+,5.46,2.90E-09,1.43E-06
positive regulation of telomere maintenance (GO:0032206),51,9,1.74,+,5.18,1.42E-04,9.99E-03
activation of JUN kinase activity (GO:0007257),41,7,1.4,+,5.02,9.24E-04,4.60E-02
negative regulation of mRNA metabolic process (GO:1903312),88,15,3,+,5.01,1.38E-06,2.48E-04
regulation of Rho protein signal transduction (GO:0035023),86,14,2.93,+,4.78,4.98E-06,7.21E-04
negative regulation of mRNA catabolic process (GO:1902373),58,9,1.97,+,4.56,3.35E-04,2.04E-02
"positive regulation of gene expression, epigenetic (GO:0045815)",59,9,2.01,+,4.48,3.75E-04,2.23E-02
Rho protein signal transduction (GO:0007266),61,9,2.08,+,4.33,4.66E-04,2.63E-02
regulation of sodium ion transmembrane transporter activity (GO:2000649),55,8,1.87,+,4.27,1.04E-03,4.92E-02
negative regulation of RNA catabolic process (GO:1902369),69,10,2.35,+,4.26,2.60E-04,1.66E-02
vesicle-mediated transport to the plasma membrane (GO:0098876),84,12,2.86,+,4.2,7.34E-05,5.97E-03
posttranscriptional gene silencing (GO:0016441),63,9,2.14,+,4.2,5.76E-04,3.11E-02
positive regulation of mRNA metabolic process (GO:1903313),85,12,2.89,+,4.15,8.13E-05,6.48E-03
peptidyl-threonine phosphorylation (GO:0018107),74,10,2.52,+,3.97,4.31E-04,2.46E-02
neural precursor cell proliferation (GO:0061351),68,9,2.31,+,3.89,9.43E-04,4.67E-02
negative regulation of translation (GO:0017148),137,18,4.66,+,3.86,3.67E-06,5.62E-04
positive regulation of JUN kinase activity (GO:0043507),69,9,2.35,+,3.83,1.04E-03,4.94E-02
organelle transport along microtubule (GO:0072384),79,10,2.69,+,3.72,6.85E-04,3.58E-02
DNA geometric change (GO:0032392),113,14,3.85,+,3.64,7.72E-05,6.24E-03
regulation of telomere maintenance (GO:0032204),81,10,2.76,+,3.63,8.16E-04,4.10E-02
DNA duplex unwinding (GO:0032508),106,13,3.61,+,3.6,1.51E-04,1.05E-02
peptidyl-threonine modification (GO:0018210),83,10,2.83,+,3.54,9.68E-04,4.74E-02
dendrite development (GO:0016358),109,13,3.71,+,3.5,1.94E-04,1.30E-02
regulation of Ras protein signal transduction (GO:0046578),198,23,6.74,+,3.41,1.20E-06,2.25E-04
actomyosin structure organization (GO:0031032),104,12,3.54,+,3.39,4.45E-04,2.54E-02
peptidyl-tyrosine dephosphorylation (GO:0035335),106,12,3.61,+,3.33,5.20E-04,2.88E-02
negative regulation of cellular amide metabolic process (GO:0034249),159,18,5.41,+,3.33,2.33E-05,2.57E-03
plasma membrane organization (GO:0007009),98,11,3.34,+,3.3,9.36E-04,4.64E-02
regulation of small GTPase mediated signal transduction (GO:0051056),327,36,11.13,+,3.23,4.44E-09,1.95E-06
regulation of mRNA processing (GO:0050684),141,15,4.8,+,3.13,2.05E-04,1.36E-02
post-Golgi vesicle-mediated transport (GO:0006892),134,14,4.56,+,3.07,3.90E-04,2.29E-02
transport along microtubule (GO:0010970),156,16,5.31,+,3.01,1.87E-04,1.27E-02
vesicle-mediated transport in synapse (GO:0099003),127,13,4.32,+,3.01,7.41E-04,3.83E-02
actin cytoskeleton organization (GO:0030036),524,52,17.84,+,2.92,5.13E-11,3.85E-08
skin development (GO:0043588),383,38,13.04,+,2.91,2.17E-08,7.44E-06
establishment of RNA localization (GO:0051236),203,20,6.91,+,2.89,5.19E-05,4.70E-03
cytoskeleton-dependent intracellular transport (GO:0030705),193,19,6.57,+,2.89,8.00E-05,6.40E-03
regulation of mRNA catabolic process (GO:0061013),214,21,7.28,+,2.88,3.58E-05,3.49E-03
positive regulation of chromosome organization (GO:2001252),174,17,5.92,+,2.87,2.03E-04,1.35E-02
keratinization (GO:0031424),226,22,7.69,+,2.86,2.63E-05,2.77E-03
regulation of mRNA metabolic process (GO:1903311),340,33,11.57,+,2.85,2.93E-07,7.21E-05
keratinocyte differentiation (GO:0030216),268,26,9.12,+,2.85,5.30E-06,7.54E-04
regulation of translation (GO:0006417),368,35,12.53,+,2.79,2.00E-07,5.26E-05
regulation of intrinsic apoptotic signaling pathway (GO:2001242),158,15,5.38,+,2.79,6.20E-04,3.33E-02
epidermal cell differentiation (GO:0009913),316,30,10.76,+,2.79,1.53E-06,2.66E-04
RNA localization (GO:0006403),222,21,7.56,+,2.78,5.84E-05,5.06E-03
mRNA transport (GO:0051028),159,15,5.41,+,2.77,6.59E-04,3.46E-02
regulation of RNA stability (GO:0043487),202,19,6.88,+,2.76,1.39E-04,9.85E-03
regulation of RNA splicing (GO:0043484),149,14,5.07,+,2.76,1.02E-03,4.89E-02
regulation of phosphatase activity (GO:0010921),181,17,6.16,+,2.76,3.11E-04,1.91E-02
regulation of mRNA stability (GO:0043488),192,18,6.54,+,2.75,2.14E-04,1.40E-02
actin filament-based process (GO:0030029),598,56,20.35,+,2.75,7.02E-11,5.03E-08
positive regulation of DNA metabolic process (GO:0051054),204,19,6.94,+,2.74,1.56E-04,1.07E-02
establishment or maintenance of cell polarity (GO:0007163),195,18,6.64,+,2.71,2.55E-04,1.63E-02
positive regulation of cell growth (GO:0030307),164,15,5.58,+,2.69,8.83E-04,4.41E-02
cell-cell junction organization (GO:0045216),186,17,6.33,+,2.69,4.15E-04,2.39E-02
