GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (372),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087),5,3,0.09,+,33.22,2.90E-04,1.51E-02
"nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)",7,3,0.13,+,23.73,6.06E-04,2.79E-02
protein localization to cytoplasmic stress granule (GO:1903608),7,3,0.13,+,23.73,6.06E-04,2.78E-02
mitotic DNA replication checkpoint signaling (GO:0033314),10,4,0.18,+,22.15,8.48E-05,5.21E-03
negative regulation of ubiquitin protein ligase activity (GO:1904667),13,5,0.23,+,21.29,1.21E-05,1.04E-03
establishment or maintenance of cytoskeleton polarity (GO:0030952),8,3,0.14,+,20.76,8.22E-04,3.57E-02
DNA topological change (GO:0006265),9,3,0.16,+,18.45,1.08E-03,4.47E-02
positive regulation of synaptic vesicle endocytosis (GO:1900244),9,3,0.16,+,18.45,1.08E-03,4.45E-02
P-body assembly (GO:0033962),14,4,0.25,+,15.82,2.45E-04,1.30E-02
negative regulation of ubiquitin-protein transferase activity (GO:0051444),20,5,0.36,+,13.84,6.79E-05,4.31E-03
regulation of ubiquitin protein ligase activity (GO:1904666),28,7,0.51,+,13.84,2.29E-06,2.57E-04
microtubule depolymerization (GO:0007019),17,4,0.31,+,13.03,4.59E-04,2.21E-02
DNA replication checkpoint signaling (GO:0000076),17,4,0.31,+,13.03,4.59E-04,2.20E-02
regulation of microtubule depolymerization (GO:0031114),33,7,0.6,+,11.74,5.89E-06,5.61E-04
mitotic sister chromatid cohesion (GO:0007064),19,4,0.34,+,11.66,6.61E-04,2.99E-02
positive regulation of signal transduction by p53 class mediator (GO:1901798),27,5,0.49,+,10.25,2.32E-04,1.24E-02
regulation of sister chromatid cohesion (GO:0007063),22,4,0.4,+,10.07,1.07E-03,4.43E-02
attachment of spindle microtubules to kinetochore (GO:0008608),23,4,0.42,+,9.63,1.24E-03,4.93E-02
negative regulation of microtubule depolymerization (GO:0007026),29,5,0.52,+,9.55,3.12E-04,1.62E-02
metaphase plate congression (GO:0051310),59,10,1.07,+,9.38,3.67E-07,5.09E-05
negative regulation of microtubule polymerization or depolymerization (GO:0031111),42,7,0.76,+,9.23,2.37E-05,1.78E-03
TOR signaling (GO:0031929),30,5,0.54,+,9.23,3.59E-04,1.80E-02
mitotic metaphase plate congression (GO:0007080),48,7,0.87,+,8.07,5.10E-05,3.46E-03
protein depolymerization (GO:0051261),36,5,0.65,+,7.69,7.59E-04,3.37E-02
establishment of chromosome localization (GO:0051303),75,10,1.35,+,7.38,2.63E-06,2.81E-04
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",120,16,2.17,+,7.38,2.65E-09,7.47E-07
centromere complex assembly (GO:0034508),38,5,0.69,+,7.28,9.47E-04,3.99E-02
ncRNA export from nucleus (GO:0097064),38,5,0.69,+,7.28,9.47E-04,3.98E-02
chromosome localization (GO:0050000),77,10,1.39,+,7.19,3.26E-06,3.32E-04
DNA replication-independent nucleosome assembly (GO:0006336),39,5,0.7,+,7.1,1.05E-03,4.37E-02
mitotic G2/M transition checkpoint (GO:0044818),47,6,0.85,+,7.07,3.40E-04,1.72E-02
sister chromatid cohesion (GO:0007062),48,6,0.87,+,6.92,3.77E-04,1.86E-02
DNA replication-independent nucleosome organization (GO:0034724),40,5,0.72,+,6.92,1.17E-03,4.71E-02
ribosomal small subunit biogenesis (GO:0042274),73,9,1.32,+,6.83,1.48E-05,1.22E-03
regulation of ubiquitin-protein transferase activity (GO:0051438),57,7,1.03,+,6.8,1.36E-04,7.80E-03
microtubule polymerization or depolymerization (GO:0031109),52,6,0.94,+,6.39,5.57E-04,2.59E-02
sister chromatid segregation (GO:0000819),149,17,2.69,+,6.32,7.15E-09,1.77E-06
regulation of microtubule polymerization or depolymerization (GO:0031110),88,10,1.59,+,6.29,9.59E-06,8.67E-04
chromosome condensation (GO:0030261),53,6,0.96,+,6.27,6.11E-04,2.80E-02
nuclear-transcribed mRNA catabolic process (GO:0000956),195,22,3.52,+,6.25,5.18E-11,2.28E-08
viral transcription (GO:0019083),116,13,2.1,+,6.2,5.16E-07,7.03E-05
translational initiation (GO:0006413),143,16,2.58,+,6.19,2.55E-08,5.46E-06
regulation of translational initiation (GO:0006446),81,9,1.46,+,6.15,3.15E-05,2.22E-03
mitotic sister chromatid segregation (GO:0000070),121,13,2.19,+,5.95,8.00E-07,1.04E-04
regulation of microtubule polymerization (GO:0031113),56,6,1.01,+,5.93,7.97E-04,3.48E-02
substrate adhesion-dependent cell spreading (GO:0034446),56,6,1.01,+,5.93,7.97E-04,3.47E-02
cytoplasmic translation (GO:0002181),122,13,2.2,+,5.9,8.72E-07,1.11E-04
regulation of mitotic sister chromatid separation (GO:0010965),66,7,1.19,+,5.87,3.12E-04,1.62E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),96,10,1.73,+,5.77,1.93E-05,1.51E-03
mitotic cytokinesis (GO:0000281),68,7,1.23,+,5.7,3.69E-04,1.83E-02
mRNA catabolic process (GO:0006402),215,22,3.88,+,5.67,2.87E-10,9.67E-08
regulation of Rho protein signal transduction (GO:0035023),88,9,1.59,+,5.66,5.72E-05,3.83E-03
regulation of chromosome segregation (GO:0051983),90,9,1.63,+,5.54,6.72E-05,4.28E-03
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)",60,6,1.08,+,5.54,1.11E-03,4.53E-02
cotranslational protein targeting to membrane (GO:0006613),101,10,1.82,+,5.48,2.88E-05,2.07E-03
