GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (414),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
protein retention in Golgi apparatus (GO:0045053),5,3,0.1,+,29.85,3.95E-04,3.20E-02
COPI-coated vesicle budding (GO:0035964),6,3,0.12,+,24.87,5.84E-04,4.35E-02
COPI coating of Golgi vesicle (GO:0048205),6,3,0.12,+,24.87,5.84E-04,4.33E-02
Golgi transport vesicle coating (GO:0048200),6,3,0.12,+,24.87,5.84E-04,4.31E-02
Golgi vesicle budding (GO:0048194),10,5,0.2,+,24.87,7.40E-06,1.10E-03
Golgi ribbon formation (GO:0090161),13,4,0.26,+,15.31,2.89E-04,2.59E-02
Golgi to endosome transport (GO:0006895),17,5,0.34,+,14.63,5.79E-05,6.82E-03
positive regulation of receptor recycling (GO:0001921),14,4,0.28,+,14.21,3.65E-04,3.08E-02
regulation of receptor recycling (GO:0001919),23,6,0.46,+,12.98,1.83E-05,2.53E-03
regulation of DNA damage checkpoint (GO:2000001),17,4,0.34,+,11.71,6.82E-04,4.84E-02
regulation of Golgi organization (GO:1903358),17,4,0.34,+,11.71,6.82E-04,4.82E-02
regulation of microtubule depolymerization (GO:0031114),31,7,0.62,+,11.23,8.17E-06,1.20E-03
negative regulation of microtubule depolymerization (GO:0007026),27,5,0.54,+,9.21,3.77E-04,3.16E-02
platelet-derived growth factor receptor signaling pathway (GO:0048008),35,6,0.7,+,8.53,1.42E-04,1.45E-02
Golgi to plasma membrane protein transport (GO:0043001),30,5,0.6,+,8.29,5.78E-04,4.32E-02
cytosolic transport (GO:0016482),148,23,2.98,+,7.73,4.22E-13,2.77E-10
establishment of protein localization to plasma membrane (GO:0061951),47,7,0.94,+,7.41,8.74E-05,9.85E-03
"retrograde transport, endosome to Golgi (GO:0042147)",90,13,1.81,+,7.19,1.20E-07,2.79E-05
establishment of spindle localization (GO:0051293),50,7,1.01,+,6.96,1.24E-04,1.30E-02
positive regulation of TOR signaling (GO:0032008),43,6,0.86,+,6.94,3.86E-04,3.17E-02
vesicle fusion (GO:0006906),81,11,1.63,+,6.76,1.96E-06,3.18E-04
Golgi to plasma membrane transport (GO:0006893),52,7,1.05,+,6.7,1.55E-04,1.53E-02
positive regulation of organelle assembly (GO:1902117),67,9,1.35,+,6.68,1.82E-05,2.57E-03
actin cytoskeleton reorganization (GO:0031532),67,9,1.35,+,6.68,1.82E-05,2.54E-03
vesicle-mediated transport to the plasma membrane (GO:0098876),84,11,1.69,+,6.51,2.70E-06,4.21E-04
vesicle targeting (GO:0006903),92,12,1.85,+,6.49,9.87E-07,1.75E-04
spindle localization (GO:0051653),55,7,1.11,+,6.33,2.12E-04,2.03E-02
