GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (722),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
positive regulation of blood-brain barrier permeability (GO:1905605),5,4,0.18,+,22.82,1.44E-04,7.21E-03
desmosome assembly (GO:0002159),4,3,0.14,+,21.39,1.22E-03,4.17E-02
store-operated calcium entry (GO:0002115),8,4,0.28,+,14.26,5.20E-04,2.10E-02
regulation of protein localization to chromatin (GO:1905634),8,4,0.28,+,14.26,5.20E-04,2.10E-02
regulation of blood-brain barrier permeability (GO:1905603),8,4,0.28,+,14.26,5.20E-04,2.09E-02
protein localization to cell-cell junction (GO:0150105),18,7,0.63,+,11.09,1.40E-05,1.03E-03
actin crosslink formation (GO:0051764),14,5,0.49,+,10.19,3.44E-04,1.53E-02
positive regulation of vascular permeability (GO:0043117),15,5,0.53,+,9.51,4.46E-04,1.88E-02
Sertoli cell differentiation (GO:0060008),17,5,0.6,+,8.39,7.16E-04,2.75E-02
positive regulation of endothelial cell apoptotic process (GO:2000353),18,5,0.63,+,7.92,8.90E-04,3.25E-02
regulation of nuclease activity (GO:0032069),22,6,0.77,+,7.78,2.94E-04,1.33E-02
positive regulation of microtubule polymerization (GO:0031116),31,8,1.09,+,7.36,4.04E-05,2.51E-03
positive regulation of microtubule polymerization or depolymerization (GO:0031112),35,9,1.23,+,7.33,1.37E-05,1.01E-03
positive regulation of interferon-alpha production (GO:0032727),24,6,0.84,+,7.13,4.38E-04,1.85E-02
filopodium assembly (GO:0046847),20,5,0.7,+,7.13,1.33E-03,4.44E-02
NADH regeneration (GO:0006735),27,6,0.95,+,6.34,7.49E-04,2.85E-02
glucose catabolic process to pyruvate (GO:0061718),27,6,0.95,+,6.34,7.49E-04,2.85E-02
canonical glycolysis (GO:0061621),27,6,0.95,+,6.34,7.49E-04,2.84E-02
glycolytic process through glucose-6-phosphate (GO:0061620),28,6,0.98,+,6.11,8.84E-04,3.24E-02
glycolytic process through fructose-6-phosphate (GO:0061615),28,6,0.98,+,6.11,8.84E-04,3.24E-02
positive regulation of interferon-beta production (GO:0032728),35,7,1.23,+,5.7,4.77E-04,1.97E-02
NADH metabolic process (GO:0006734),40,8,1.4,+,5.7,1.89E-04,9.19E-03
regulation of interferon-alpha production (GO:0032647),30,6,1.05,+,5.7,1.21E-03,4.14E-02
positive regulation of filopodium assembly (GO:0051491),30,6,1.05,+,5.7,1.21E-03,4.13E-02
regulation of dendritic spine development (GO:0060998),60,12,2.1,+,5.7,4.96E-06,4.27E-04
negative regulation of stress-activated MAPK cascade (GO:0032873),46,9,1.61,+,5.58,8.79E-05,4.83E-03
negative regulation of stress-activated protein kinase signaling cascade (GO:0070303),46,9,1.61,+,5.58,8.79E-05,4.81E-03
negative regulation of JNK cascade (GO:0046329),36,7,1.26,+,5.55,5.53E-04,2.22E-02
glucose catabolic process (GO:0006007),31,6,1.09,+,5.52,1.40E-03,4.63E-02
regulation of microtubule depolymerization (GO:0031114),31,6,1.09,+,5.52,1.40E-03,4.62E-02
regulation of filopodium assembly (GO:0051489),47,9,1.65,+,5.46,1.02E-04,5.43E-03
positive regulation of dendritic spine development (GO:0060999),42,8,1.47,+,5.43,2.54E-04,1.17E-02
regulation of microtubule polymerization (GO:0031113),53,10,1.86,+,5.38,4.71E-05,2.87E-03
cortical actin cytoskeleton organization (GO:0030866),38,7,1.33,+,5.25,7.34E-04,2.80E-02
response to epidermal growth factor (GO:0070849),49,9,1.72,+,5.24,1.34E-04,6.80E-03
