GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (1362),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
regulation of basement membrane organization (GO:0110011),5,4,0.33,+,12.1,1.44E-03,3.08E-02
negative regulation of peptidyl-cysteine S-nitrosylation (GO:1902083),5,4,0.33,+,12.1,1.44E-03,3.07E-02
positive regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904261),5,4,0.33,+,12.1,1.44E-03,3.07E-02
regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904259),5,4,0.33,+,12.1,1.44E-03,3.06E-02
type I pneumocyte differentiation (GO:0060509),5,4,0.33,+,12.1,1.44E-03,3.06E-02
signal complex assembly (GO:0007172),8,6,0.53,+,11.34,1.10E-04,3.32E-03
actin filament reorganization (GO:0090527),10,7,0.66,+,10.58,3.90E-05,1.31E-03
negative regulation of guanyl-nucleotide exchange factor activity (GO:1905098),6,4,0.4,+,10.08,2.29E-03,4.43E-02
negative regulation of tubulin deacetylation (GO:1904428),6,4,0.4,+,10.08,2.29E-03,4.42E-02
entry of bacterium into host cell (GO:0035635),8,5,0.53,+,9.45,7.71E-04,1.83E-02
"regulation of wound healing, spreading of epidermal cells (GO:1903689)",8,5,0.53,+,9.45,7.71E-04,1.83E-02
negative regulation of hippo signaling (GO:0035331),13,8,0.86,+,9.31,2.11E-05,7.37E-04
regulation of podosome assembly (GO:0071801),12,7,0.79,+,8.82,9.04E-05,2.80E-03
stress fiber assembly (GO:0043149),16,9,1.06,+,8.51,1.09E-05,4.04E-04
contractile actin filament bundle assembly (GO:0030038),16,9,1.06,+,8.51,1.09E-05,4.03E-04
positive regulation of podosome assembly (GO:0071803),9,5,0.6,+,8.4,1.14E-03,2.54E-02
establishment of centrosome localization (GO:0051660),9,5,0.6,+,8.4,1.14E-03,2.53E-02
negative regulation of stress fiber assembly (GO:0051497),27,14,1.79,+,7.84,8.44E-08,4.50E-06
actin filament network formation (GO:0051639),12,6,0.79,+,7.56,5.47E-04,1.36E-02
centriole-centriole cohesion (GO:0010457),12,6,0.79,+,7.56,5.47E-04,1.36E-02
cellular response to X-ray (GO:0071481),10,5,0.66,+,7.56,1.62E-03,3.36E-02
positive regulation of extracellular matrix assembly (GO:1901203),10,5,0.66,+,7.56,1.62E-03,3.35E-02
positive regulation of fibroblast migration (GO:0010763),14,7,0.93,+,7.56,1.87E-04,5.36E-03
negative regulation of actin filament bundle assembly (GO:0032232),30,15,1.98,+,7.56,4.22E-08,2.41E-06
adherens junction assembly (GO:0034333),13,6,0.86,+,6.98,7.58E-04,1.81E-02
pinocytosis (GO:0006907),11,5,0.73,+,6.87,2.24E-03,4.37E-02
astral microtubule organization (GO:0030953),11,5,0.73,+,6.87,2.24E-03,4.37E-02
negative regulation of muscle adaptation (GO:0014745),11,5,0.73,+,6.87,2.24E-03,4.36E-02
regulation of non-motile cilium assembly (GO:1902855),11,5,0.73,+,6.87,2.24E-03,4.36E-02
