GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (342),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
gas transport (GO:0015669),19,6,0.32,+,19.02,2.48E-06,4.11E-04
actin crosslink formation (GO:0051764),14,4,0.23,+,17.21,1.79E-04,1.74E-02
oxygen transport (GO:0015671),14,4,0.23,+,17.21,1.79E-04,1.73E-02
positive regulation of fibroblast migration (GO:0010763),14,4,0.23,+,17.21,1.79E-04,1.72E-02
negative regulation of actin filament depolymerization (GO:0030835),41,8,0.68,+,11.75,1.18E-06,2.29E-04
actin filament capping (GO:0051693),37,7,0.61,+,11.39,6.65E-06,9.99E-04
cell-substrate junction assembly (GO:0007044),44,8,0.73,+,10.95,1.88E-06,3.29E-04
focal adhesion assembly (GO:0048041),28,5,0.46,+,10.75,1.84E-04,1.76E-02
cell-substrate junction organization (GO:0150115),45,8,0.75,+,10.71,2.18E-06,3.70E-04
hydrogen peroxide catabolic process (GO:0042744),29,5,0.48,+,10.38,2.13E-04,1.98E-02
positive regulation of actin filament bundle assembly (GO:0032233),64,11,1.06,+,10.35,3.63E-08,1.04E-05
negative regulation of actin filament polymerization (GO:0030837),60,10,1,+,10.04,1.97E-07,4.72E-05
bicarbonate transport (GO:0015701),42,7,0.7,+,10.04,1.39E-05,1.92E-03
lamellipodium assembly (GO:0030032),36,6,0.6,+,10.04,5.81E-05,6.84E-03
microtubule bundle formation (GO:0001578),109,18,1.81,+,9.94,2.85E-12,2.64E-09
negative regulation of protein depolymerization (GO:1901880),68,11,1.13,+,9.74,6.32E-08,1.75E-05
axoneme assembly (GO:0035082),78,12,1.3,+,9.26,2.60E-08,7.90E-06
negative regulation of protein polymerization (GO:0032272),74,11,1.23,+,8.95,1.37E-07,3.42E-05
positive regulation of stress fiber assembly (GO:0051496),54,8,0.9,+,8.92,7.33E-06,1.08E-03
actin filament bundle organization (GO:0061572),61,9,1.01,+,8.88,2.02E-06,3.46E-04
hydrogen peroxide metabolic process (GO:0042743),41,6,0.68,+,8.81,1.11E-04,1.17E-02
regulation of actin filament depolymerization (GO:0030834),56,8,0.93,+,8.6,9.32E-06,1.35E-03
positive regulation of substrate adhesion-dependent cell spreading (GO:1900026),42,6,0.7,+,8.6,1.25E-04,1.30E-02
lamellipodium organization (GO:0097581),43,6,0.71,+,8.4,1.41E-04,1.43E-02
negative regulation of protein-containing complex disassembly (GO:0043242),79,11,1.31,+,8.38,2.48E-07,5.75E-05
axonemal dynein complex assembly (GO:0070286),36,5,0.6,+,8.36,5.22E-04,4.18E-02
