GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (595),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
regulation of cohesin loading (GO:0071922),5,4,0.14,+,27.69,6.93E-05,4.66E-03
regulation of basement membrane organization (GO:0110011),5,4,0.14,+,27.69,6.93E-05,4.64E-03
positive regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904261),5,4,0.14,+,27.69,6.93E-05,4.62E-03
regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904259),5,4,0.14,+,27.69,6.93E-05,4.60E-03
"negative regulation of wound healing, spreading of epidermal cells (GO:1903690)",4,3,0.12,+,25.96,7.09E-04,3.10E-02
interkinetic nuclear migration (GO:0022027),5,3,0.14,+,20.77,1.11E-03,4.32E-02
regulation of protein localization to chromatin (GO:1905634),9,5,0.26,+,19.23,2.78E-05,2.15E-03
positive regulation of extracellular matrix assembly (GO:1901203),10,4,0.29,+,13.85,4.92E-04,2.37E-02
DNA unwinding involved in DNA replication (GO:0006268),16,6,0.46,+,12.98,2.43E-05,1.93E-03
regulation of microtubule motor activity (GO:2000574),11,4,0.32,+,12.59,6.56E-04,2.93E-02
positive regulation of histone H3-K9 methylation (GO:0051574),11,4,0.32,+,12.59,6.56E-04,2.92E-02
positive regulation of RIG-I signaling pathway (GO:1900246),11,4,0.32,+,12.59,6.56E-04,2.91E-02
mitotic nuclear membrane disassembly (GO:0007077),12,4,0.35,+,11.54,8.56E-04,3.61E-02
establishment of endothelial intestinal barrier (GO:0090557),12,4,0.35,+,11.54,8.56E-04,3.60E-02
nuclear membrane disassembly (GO:0051081),16,5,0.46,+,10.82,2.40E-04,1.32E-02
membrane disassembly (GO:0030397),16,5,0.46,+,10.82,2.40E-04,1.32E-02
negative regulation of hippo signaling (GO:0035331),13,4,0.38,+,10.65,1.09E-03,4.29E-02
mitotic chromosome condensation (GO:0007076),28,8,0.81,+,9.89,5.57E-06,5.40E-04
cortical actin cytoskeleton organization (GO:0030866),38,10,1.1,+,9.11,7.07E-07,9.46E-05
regulation of bicellular tight junction assembly (GO:2000810),24,6,0.69,+,8.65,1.60E-04,9.60E-03
microtubule nucleation (GO:0007020),24,6,0.69,+,8.65,1.60E-04,9.56E-03
positive regulation of microtubule polymerization or depolymerization (GO:0031112),37,9,1.07,+,8.42,4.45E-06,4.54E-04
positive regulation of microtubule polymerization (GO:0031116),33,8,0.95,+,8.39,1.55E-05,1.30E-03
regulation of RIG-I signaling pathway (GO:0039535),21,5,0.61,+,8.24,6.92E-04,3.04E-02
establishment of mitotic spindle localization (GO:0040001),35,8,1.01,+,7.91,2.25E-05,1.82E-03
regulation of sister chromatid cohesion (GO:0007063),22,5,0.64,+,7.87,8.30E-04,3.55E-02
stress granule assembly (GO:0034063),23,5,0.66,+,7.52,9.87E-04,3.97E-02
protein localization to centrosome (GO:0071539),23,5,0.66,+,7.52,9.87E-04,3.96E-02
establishment of spindle orientation (GO:0051294),37,8,1.07,+,7.48,3.18E-05,2.39E-03
establishment of spindle localization (GO:0051293),51,11,1.47,+,7.47,1.08E-06,1.36E-04
spindle localization (GO:0051653),56,12,1.62,+,7.42,3.73E-07,5.36E-05
negative regulation of stress fiber assembly (GO:0051497),28,6,0.81,+,7.42,3.29E-04,1.74E-02
centrosome localization (GO:0051642),33,7,0.95,+,7.34,1.11E-04,7.05E-03
protein localization to microtubule cytoskeleton (GO:0072698),38,8,1.1,+,7.29,3.75E-05,2.75E-03
ncRNA export from nucleus (GO:0097064),38,8,1.1,+,7.29,3.75E-05,2.73E-03
DNA replication initiation (GO:0006270),43,9,1.24,+,7.24,1.28E-05,1.09E-03
protein exit from endoplasmic reticulum (GO:0032527),24,5,0.69,+,7.21,1.17E-03,4.48E-02
protein localization to microtubule organizing center (GO:1905508),24,5,0.69,+,7.21,1.17E-03,4.47E-02
regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039531),24,5,0.69,+,7.21,1.17E-03,4.46E-02
microtubule organizing center localization (GO:0061842),34,7,0.98,+,7.13,1.30E-04,8.11E-03
mitotic nuclear membrane reassembly (GO:0007084),51,10,1.47,+,6.79,7.02E-06,6.53E-04
mitotic nuclear membrane organization (GO:0101024),51,10,1.47,+,6.79,7.02E-06,6.49E-04
negative regulation of actin filament bundle assembly (GO:0032232),31,6,0.9,+,6.7,5.29E-04,2.51E-02
protein localization to cytoskeleton (GO:0044380),42,8,1.21,+,6.59,7.00E-05,4.63E-03
tRNA transport (GO:0051031),37,7,1.07,+,6.55,2.06E-04,1.16E-02
nuclear membrane reassembly (GO:0031468),54,10,1.56,+,6.41,1.09E-05,9.49E-04
regulation of microtubule polymerization (GO:0031113),56,10,1.62,+,6.18,1.45E-05,1.22E-03
nuclear membrane organization (GO:0071763),73,13,2.11,+,6.16,7.88E-07,1.03E-04
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431),34,6,0.98,+,6.11,8.14E-04,3.50E-02
tRNA export from nucleus (GO:0006409),34,6,0.98,+,6.11,8.14E-04,3.49E-02
mitotic G2 DNA damage checkpoint signaling (GO:0007095),35,6,1.01,+,5.93,9.31E-04,3.83E-02
"base-excision repair, gap-filling (GO:0006287)",35,6,1.01,+,5.93,9.31E-04,3.82E-02
microtubule polymerization (GO:0046785),35,6,1.01,+,5.93,9.31E-04,3.81E-02
establishment of endothelial barrier (GO:0061028),35,6,1.01,+,5.93,9.31E-04,3.80E-02
mitotic G2/M transition checkpoint (GO:0044818),47,8,1.36,+,5.89,1.40E-04,8.60E-03
chromosome condensation (GO:0030261),53,9,1.53,+,5.88,5.50E-05,3.81E-03
base-excision repair (GO:0006284),59,10,1.7,+,5.87,2.16E-05,1.77E-03
cortical cytoskeleton organization (GO:0030865),59,10,1.7,+,5.87,2.16E-05,1.76E-03
establishment of cell polarity (GO:0030010),122,19,3.52,+,5.39,1.62E-08,3.38E-06
actin filament bundle assembly (GO:0051017),58,9,1.68,+,5.37,1.02E-04,6.58E-03
nuclear envelope organization (GO:0006998),84,13,2.43,+,5.36,3.18E-06,3.45E-04
mitotic nuclear division (GO:0140014),201,31,5.81,+,5.34,6.03E-13,3.18E-10
"positive regulation of gene expression, epigenetic (GO:0045815)",60,9,1.73,+,5.19,1.29E-04,8.06E-03
regulation of microtubule cytoskeleton organization (GO:0070507),147,22,4.25,+,5.18,2.33E-09,5.85E-07
mitotic sister chromatid segregation (GO:0000070),121,18,3.5,+,5.15,7.22E-08,1.27E-05
regulation of microtubule polymerization or depolymerization (GO:0031110),88,13,2.54,+,5.11,5.03E-06,5.03E-04
actin filament bundle organization (GO:0061572),61,9,1.76,+,5.11,1.44E-04,8.78E-03
microtubule cytoskeleton organization involved in mitosis (GO:1902850),184,27,5.32,+,5.08,5.26E-11,1.77E-08
regulation of chromosome segregation (GO:0051983),90,13,2.6,+,5,6.27E-06,5.93E-04
double-strand break repair via nonhomologous end joining (GO:0006303),63,9,1.82,+,4.94,1.80E-04,1.05E-02
interstrand cross-link repair (GO:0036297),56,8,1.62,+,4.94,4.09E-04,2.03E-02
mitotic spindle organization (GO:0007052),163,23,4.71,+,4.88,2.79E-09,6.77E-07
regulation of embryonic development (GO:0045995),64,9,1.85,+,4.87,2.00E-04,1.14E-02
actomyosin structure organization (GO:0031032),107,15,3.09,+,4.85,1.72E-06,2.05E-04
double-strand break repair via homologous recombination (GO:0000724),101,14,2.92,+,4.8,4.27E-06,4.44E-04
ncRNA transcription (GO:0098781),94,13,2.72,+,4.79,9.58E-06,8.65E-04
intermediate filament cytoskeleton organization (GO:0045104),51,7,1.47,+,4.75,1.15E-03,4.45E-02
double-strand break repair (GO:0006302),204,28,5.89,+,4.75,9.33E-11,2.95E-08
establishment or maintenance of cell polarity (GO:0007163),197,27,5.69,+,4.74,2.09E-10,6.34E-08
membrane assembly (GO:0071709),88,12,2.54,+,4.72,2.38E-05,1.90E-03
recombinational repair (GO:0000725),103,14,2.98,+,4.7,5.24E-06,5.18E-04
intermediate filament-based process (GO:0045103),52,7,1.5,+,4.66,1.28E-03,4.79E-02
postreplication repair (GO:0006301),52,7,1.5,+,4.66,1.28E-03,4.78E-02
spindle organization (GO:0007051),224,30,6.47,+,4.64,3.42E-11,1.23E-08
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)",60,8,1.73,+,4.62,6.19E-04,2.82E-02
mitotic cytokinesis (GO:0000281),68,9,1.96,+,4.58,3.01E-04,1.61E-02
Rho protein signal transduction (GO:0007266),61,8,1.76,+,4.54,6.83E-04,3.02E-02
positive regulation of mitotic cell cycle phase transition (GO:1901992),84,11,2.43,+,4.53,7.21E-05,4.73E-03
positive regulation of cell cycle phase transition (GO:1901989),107,14,3.09,+,4.53,7.79E-06,7.08E-04
chromosome localization (GO:0050000),77,10,2.22,+,4.5,1.62E-04,9.60E-03
protein sumoylation (GO:0016925),62,8,1.79,+,4.47,7.53E-04,3.28E-02
snRNA transcription by RNA polymerase II (GO:0042795),70,9,2.02,+,4.45,3.66E-04,1.88E-02
RNA destabilization (GO:0050779),94,12,2.72,+,4.42,4.28E-05,3.04E-03
membrane biogenesis (GO:0044091),94,12,2.72,+,4.42,4.28E-05,3.02E-03
sister chromatid segregation (GO:0000819),149,19,4.3,+,4.41,2.77E-07,4.13E-05
DNA geometric change (GO:0032392),110,14,3.18,+,4.41,1.04E-05,9.10E-04
snRNA transcription (GO:0009301),71,9,2.05,+,4.39,4.02E-04,2.00E-02
cytoplasmic microtubule organization (GO:0031122),64,8,1.85,+,4.33,9.09E-04,3.78E-02
positive regulation of mRNA metabolic process (GO:1903313),136,17,3.93,+,4.33,1.50E-06,1.81E-04
DNA duplex unwinding (GO:0032508),105,13,3.03,+,4.29,2.78E-05,2.16E-03
positive regulation of mRNA catabolic process (GO:0061014),105,13,3.03,+,4.29,2.78E-05,2.15E-03
regulation of translational initiation (GO:0006446),81,10,2.34,+,4.27,2.36E-04,1.30E-02
mRNA destabilization (GO:0061157),90,11,2.6,+,4.23,1.26E-04,7.94E-03
nucleus organization (GO:0006997),148,18,4.28,+,4.21,1.06E-06,1.35E-04
chromatin remodeling (GO:0006338),173,21,5,+,4.2,1.40E-07,2.28E-05
negative regulation of chromatin organization (GO:1905268),66,8,1.91,+,4.2,1.09E-03,4.29E-02
regulation of DNA replication (GO:0006275),108,13,3.12,+,4.17,3.63E-05,2.67E-03
establishment of chromosome localization (GO:0051303),75,9,2.17,+,4.15,5.78E-04,2.70E-02
microtubule organizing center organization (GO:0031023),100,12,2.89,+,4.15,7.38E-05,4.82E-03
circadian regulation of gene expression (GO:0032922),67,8,1.94,+,4.13,1.19E-03,4.54E-02
positive regulation of cell cycle process (GO:0090068),228,27,6.59,+,4.1,3.76E-09,8.61E-07
regulation of cellular response to heat (GO:1900034),79,9,2.28,+,3.94,8.13E-04,3.50E-02
centrosome cycle (GO:0007098),88,10,2.54,+,3.93,4.31E-04,2.11E-02
regulation of microtubule-based process (GO:0032886),242,27,6.99,+,3.86,1.19E-08,2.54E-06
mitotic cell cycle process (GO:1903047),675,75,19.5,+,3.85,6.69E-22,1.51E-18
DNA repair (GO:0006281),531,59,15.34,+,3.85,2.23E-17,2.71E-14
regulation of stress fiber assembly (GO:0051492),90,10,2.6,+,3.85,5.07E-04,2.44E-02
DNA replication (GO:0006260),273,30,7.89,+,3.8,2.53E-09,6.25E-07
regulation of protein depolymerization (GO:1901879),91,10,2.63,+,3.8,5.49E-04,2.60E-02
spindle assembly (GO:0051225),91,10,2.63,+,3.8,5.49E-04,2.59E-02
mitotic cell cycle (GO:0000278),750,82,21.67,+,3.78,1.68E-23,5.32E-20
positive regulation of mitotic cell cycle (GO:0045931),112,12,3.24,+,3.71,1.96E-04,1.13E-02
regulation of gene silencing by miRNA (GO:0060964),94,10,2.72,+,3.68,6.92E-04,3.05E-02
nuclear division (GO:0000280),339,36,9.79,+,3.68,1.50E-10,4.65E-08
RNA transport (GO:0050658),189,20,5.46,+,3.66,1.97E-06,2.29E-04
nucleic acid transport (GO:0050657),189,20,5.46,+,3.66,1.97E-06,2.27E-04
chromosome segregation (GO:0007059),286,30,8.26,+,3.63,6.75E-09,1.52E-06
RNA export from nucleus (GO:0006405),124,13,3.58,+,3.63,1.31E-04,8.08E-03
establishment of RNA localization (GO:0051236),191,20,5.52,+,3.62,2.28E-06,2.60E-04
cell division (GO:0051301),498,52,14.39,+,3.61,1.93E-14,1.33E-11
regulation of posttranscriptional gene silencing (GO:0060147),96,10,2.77,+,3.61,8.03E-04,3.47E-02
regulation of gene silencing (GO:0060968),116,12,3.35,+,3.58,2.64E-04,1.44E-02
positive regulation of cell cycle (GO:0045787),310,32,8.96,+,3.57,3.02E-09,7.23E-07
regulation of mRNA catabolic process (GO:0061013),252,26,7.28,+,3.57,9.29E-08,1.56E-05
regulation of gene silencing by RNA (GO:0060966),97,10,2.8,+,3.57,8.64E-04,3.61E-02
regulation of RNA stability (GO:0043487),253,26,7.31,+,3.56,9.98E-08,1.64E-05
DNA conformation change (GO:0071103),312,32,9.01,+,3.55,3.48E-09,8.22E-07
regulation of actomyosin structure organization (GO:0110020),98,10,2.83,+,3.53,9.29E-04,3.84E-02
cytokinesis (GO:0000910),98,10,2.83,+,3.53,9.29E-04,3.83E-02
positive regulation of protein polymerization (GO:0032273),128,13,3.7,+,3.52,1.76E-04,1.03E-02
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),109,11,3.15,+,3.49,5.71E-04,2.68E-02
organelle fission (GO:0048285),369,37,10.66,+,3.47,3.64E-10,1.06E-07
regulation of DNA repair (GO:0006282),130,13,3.76,+,3.46,2.02E-04,1.14E-02
mRNA transport (GO:0051028),160,16,4.62,+,3.46,3.87E-05,2.78E-03
actin cytoskeleton organization (GO:0030036),531,53,15.34,+,3.45,5.66E-14,3.73E-11
regulation of mRNA stability (GO:0043488),241,24,6.96,+,3.45,5.21E-07,7.36E-05
negative regulation of cell cycle G2/M phase transition (GO:1902750),111,11,3.21,+,3.43,6.57E-04,2.91E-02
DNA packaging (GO:0006323),202,20,5.84,+,3.43,4.97E-06,5.00E-04
microtubule cytoskeleton organization (GO:0000226),567,56,16.38,+,3.42,1.58E-14,1.13E-11
"regulation of gene expression, epigenetic (GO:0040029)",173,17,5,+,3.4,2.75E-05,2.15E-03
regulation of actin filament bundle assembly (GO:0032231),102,10,2.95,+,3.39,1.23E-03,4.67E-02
"regulation of mRNA splicing, via spliceosome (GO:0048024)",102,10,2.95,+,3.39,1.23E-03,4.66E-02
actin filament-based process (GO:0030029),605,59,17.48,+,3.38,4.96E-15,3.74E-12
DNA-dependent DNA replication (GO:0006261),195,19,5.63,+,3.37,1.05E-05,9.18E-04
nuclear chromosome segregation (GO:0098813),227,22,6.56,+,3.35,2.33E-06,2.63E-04
negative regulation of cytoskeleton organization (GO:0051494),156,15,4.51,+,3.33,1.01E-04,6.49E-03
cytoskeleton organization (GO:0007010),1212,116,35.02,+,3.31,1.27E-28,1.00E-24
regulation of cell cycle G2/M phase transition (GO:1902749),222,21,6.41,+,3.27,5.57E-06,5.37E-04
RNA localization (GO:0006403),212,20,6.12,+,3.27,9.62E-06,8.64E-04
regulation of RNA splicing (GO:0043484),150,14,4.33,+,3.23,2.26E-04,1.25E-02
cell cycle process (GO:0022402),957,89,27.65,+,3.22,4.30E-21,7.55E-18
positive regulation of supramolecular fiber organization (GO:1902905),199,18,5.75,+,3.13,4.42E-05,3.09E-03
cell cycle (GO:0007049),1316,119,38.02,+,3.13,2.39E-27,1.26E-23
regulation of mRNA metabolic process (GO:1903311),376,34,10.86,+,3.13,2.07E-08,4.19E-06
regulation of cell shape (GO:0008360),155,14,4.48,+,3.13,3.08E-04,1.64E-02
nucleobase-containing compound transport (GO:0015931),245,22,7.08,+,3.11,7.23E-06,6.60E-04
regulation of chromosome organization (GO:0033044),290,26,8.38,+,3.1,1.11E-06,1.39E-04
regulation of G2/M transition of mitotic cell cycle (GO:0010389),212,19,6.12,+,3.1,3.08E-05,2.33E-03
DNA metabolic process (GO:0006259),777,69,22.45,+,3.07,1.58E-15,1.25E-12
cellular response to DNA damage stimulus (GO:0006974),793,70,22.91,+,3.06,1.28E-15,1.12E-12
positive regulation of cytoskeleton organization (GO:0051495),216,19,6.24,+,3.04,3.89E-05,2.78E-03
mitotic cell cycle phase transition (GO:0044772),262,23,7.57,+,3.04,6.35E-06,5.98E-04
positive regulation of translation (GO:0045727),137,12,3.96,+,3.03,1.04E-03,4.14E-02
negative regulation of translation (GO:0017148),184,16,5.32,+,3.01,1.76E-04,1.03E-02
regulation of translation (GO:0006417),415,36,11.99,+,3,2.12E-08,4.24E-06
peptidyl-serine phosphorylation (GO:0018105),185,16,5.34,+,2.99,1.86E-04,1.08E-02
Ras protein signal transduction (GO:0007265),176,15,5.08,+,2.95,3.39E-04,1.78E-02
cell cycle phase transition (GO:0044770),270,23,7.8,+,2.95,9.99E-06,8.83E-04
nuclear export (GO:0051168),166,14,4.8,+,2.92,5.83E-04,2.70E-02
regulation of cell junction assembly (GO:1901888),202,17,5.84,+,2.91,1.61E-04,9.55E-03
signal transduction in response to DNA damage (GO:0042770),167,14,4.82,+,2.9,6.16E-04,2.81E-02
negative regulation of cellular amide metabolic process (GO:0034249),206,17,5.95,+,2.86,2.00E-04,1.14E-02
regulation of cell cycle phase transition (GO:1901987),522,43,15.08,+,2.85,3.67E-09,8.54E-07
chromatin assembly or disassembly (GO:0006333),170,14,4.91,+,2.85,7.24E-04,3.16E-02
regulation of cell cycle process (GO:0010564),792,65,22.88,+,2.84,3.27E-13,1.78E-10
chromosome organization (GO:0051276),1064,87,30.74,+,2.83,2.29E-17,2.59E-14
positive regulation of intracellular protein transport (GO:0090316),185,15,5.34,+,2.81,5.52E-04,2.59E-02
posttranscriptional regulation of gene expression (GO:0010608),581,47,16.79,+,2.8,1.16E-09,3.15E-07
negative regulation of organelle organization (GO:0010639),334,27,9.65,+,2.8,4.27E-06,4.42E-04
regulation of mitotic cell cycle phase transition (GO:1901990),434,35,12.54,+,2.79,1.73E-07,2.74E-05
establishment of organelle localization (GO:0051656),398,32,11.5,+,2.78,6.24E-07,8.57E-05
histone modification (GO:0016570),363,29,10.49,+,2.77,2.36E-06,2.64E-04
regulation of cytoskeleton organization (GO:0051493),526,42,15.2,+,2.76,1.29E-08,2.73E-06
cell cycle checkpoint signaling (GO:0000075),188,15,5.43,+,2.76,6.44E-04,2.91E-02
