Dasatinib,Line,p-YAP,p-ABL,p-SRC,,
0nM,WT,56.5,73,33,,
1.6nM,WT,54,71,33,,
8nM,WT,56,69.5,37,,
40nM,WT,53,70,35,,
200nM,WT,56,66,28,,
1000nM,WT,52,62,27,,
0nM,KO,52,78,34,,
1.6nM,KO,53,76.5,32.5,,
8nM,KO,57,81,33,,
40nM,KO,58,83.5,32,,
200nM,KO,53,67,26,,
1000nM,KO,52,59,25,,
0nM,WT,53,63.5,31.5,,
1.6nM,WT,62,68.5,32,,
8nM,WT,56,60,31,,
40nM,WT,59,68,36,,
200nM,WT,53,61,24,,
1000nM,WT,52,53,26.5,,
0nM,KO,46.5,70,30,,
1.6nM,KO,53,75,32.5,,
8nM,KO,55,76,33,,
40nM,KO,58,81.5,29,,
200nM,KO,52,68,25,,
1000nM,KO,46,57,23,,
BG_BSA,BG_BSA,66.5,100,61,,
BG_BSA,BG_BSA,77.5,107.5,52,,
BG_RIPA,BG_RIPA,71,94.5,52,,
BG_RIPA,BG_RIPA,81,95,49,,
BG_RIPA,BG_RIPA,76.5,94,41,,
,,,,,,
,,,,,,
,,,,,,
