,-5,-4,-3,-2,-1,+1,+2,+3,+4
P,-0.035194777,-0.13059907,-0.215164705,0.143386628,-0.746314708,-3.203240567,-0.261337794,0.150671383,0.255073316
G,0.043254845,-0.088604406,-0.276714044,0.216226553,-1.00605817,-0.514994702,-1.072185076,-0.582288478,-0.258183478
A,0.0488897,-0.081772493,-0.237891551,-0.026005359,-0.577677046,-0.159312768,-0.265835868,-0.277136398,-0.253592725
C,-0.161445776,-0.198673533,-0.177942919,-0.006159061,-0.100718994,-0.209439671,-0.042136793,0.247160207,-0.143831646
S,-0.163680939,0.089196015,-0.000130856,0.104683254,-0.736733703,-0.289612756,0.128294592,-0.522483904,-0.041900199
T,-0.063537719,-0.112834439,-0.074639562,0.069155668,0.155059877,-0.267201694,0.034550483,-0.371132204,-0.109097869
V,-0.228557166,-0.111619248,-0.327960055,-0.029763725,0.59672806,0.068806277,0.003295404,0.659307586,-0.296397535
I,-0.209705999,-0.241504489,-0.237796455,-0.050612996,1.032574294,0.231892456,0.023837911,0.768191812,-0.196444978
L,-0.163680939,-0.233709408,-0.272959824,-0.256046184,0.688033693,0.051513792,-0.056480125,0.591673662,-0.105494056
M,-0.117833015,-0.107097463,-0.002127465,-0.211924749,0.143177793,0.501648479,-0.181109478,0.342535223,-0.139508547
F,-0.090321097,-0.169818761,-0.254417539,-0.577442811,-0.393409862,0.012435289,0.388482774,0.658602758,0.25023283
Y,0.519668815,0.785087754,0.660535216,0.907200184,0.65751129,0.638519373,0.656680663,0.524044468,0.280199386
W,0.034930163,0.183511495,-0.093714598,-0.518474174,-0.68374334,0.205493259,0.229738341,0.573261696,0.313287505
H,-0.014384577,0.12580082,0.024653317,-0.106718626,-0.11732152,-0.101658264,-0.163993808,-0.171990835,0.222009429
K,0.259512408,-0.027090599,-0.191696689,-0.378972743,-0.906121369,-0.839759594,-0.16636286,-0.606510711,0.342772544
R,0.27034721,0.077777718,-0.032585223,-0.328674406,-0.776940468,-0.251170884,0.225623773,0.507910732,0.495529652
Q,-0.00848903,-0.142515534,-0.006199428,-0.002678737,-0.091859371,0.492481886,-0.108537051,-0.635042415,0.100337174
N,0.047581986,0.002234213,0.139183074,0.066880438,-0.273788339,-0.954600435,-0.137253332,-0.236463871,0.100871804
D,0.140603526,0.082482496,0.492855569,0.167723649,-0.366177614,-0.237212527,-0.816306435,-1.878863895,-0.411345121
E,0.208662479,0.120728879,0.549980513,0.176865158,0.457777525,0.728536739,-0.333240123,-0.732617965,-0.214828914
pT,-0.069201051,-0.328710023,-0.257834459,0.049278527,0.681024002,-0.085629666,0.334783569,-1.516510229,-0.652390331
pY,-0.614004552,0.09146887,0.17580229,-0.129668142,-0.325407032,0.754380946,0.522776942,-1.010598096,-0.122204725
