Protein,Gene,Bio,Bio,Bio,Bio,Bio,Bio,Dox,Dox,Dox,Dox,Dox,Dox,DoxBio,DoxBio,DoxBio,DoxBio,DoxBio,DoxBio,DoxBio750,DoxBio750,DoxBio750,DoxBio750,DoxBio750,DoxBio750,DoxBio821,DoxBio821,DoxBio821,DoxBio821,DoxBio821,DoxBio821,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF821,DoxBioAF821,DoxBioAF821,DoxBioAF821,DoxBioAF821,DoxBioAF821
"Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC PE=1 SV=2",PYC_HUMAN,53,52,52,53,53,55,52,52,53,51,50,51,51,50,52,50,41,43,52,52,52,51,50,52,52,52,54,53,52,51,46,45,54,53,52,55,60,55,55,54,51,50,58,55,55,55,48,50
"Cluster of Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2 (K22E_HUMAN)",K22E_HUMAN [23],109,107,99,103,52,55,73,73,87,93,74,81,69,76,109,110,96,92,100,93,89,101,87,90,83,79,88,88,74,68,91,98,112,113,79,76,92,93,65,70,74,80,86,82,59,62,76,73
"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",K2C1_HUMAN,36,38,36,35,31,30,21,21,34,33,32,32,34,31,38,39,30,28,45,39,39,39,39,35,33,35,34,38,33,32,25,26,36,37,23,24,33,32,31,29,34,32,33,33,31,32,30,32
"Cluster of Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6 (K1C10_HUMAN)",K1C10_HUMAN [12],71,69,55,51,34,35,29,29,47,47,44,47,47,44,69,67,48,46,64,64,50,52,50,48,39,44,57,53,41,39,36,37,53,55,46,38,48,45,43,43,42,39,47,48,29,40,43,44
Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,ACACA_HUMAN,75,74,55,60,67,65,76,76,69,62,72,75,59,57,63,63,45,46,38,36,43,38,46,45,50,47,42,49,39,42,40,39,56,59,51,60,43,43,51,48,42,42,42,46,43,38,31,28
"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",K1C9_HUMAN,34,36,37,34,28,25,16,16,25,27,28,29,27,30,29,32,23,23,37,35,32,33,34,33,29,27,34,34,25,27,14,16,29,31,21,22,32,32,30,27,24,26,28,30,32,29,29,28
"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCA PE=1 SV=4",PCCA_HUMAN,32,31,32,31,31,32,35,35,33,34,32,33,30,26,26,25,25,24,29,29,28,27,29,28,28,28,29,29,28,24,24,26,32,30,35,37,29,28,32,31,27,27,29,28,30,28,25,26
"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC1 PE=1 SV=3",MCCA_HUMAN,16,16,20,16,18,17,21,21,19,18,17,21,17,18,12,15,15,13,20,22,22,19,22,20,21,21,24,21,18,21,17,16,20,21,23,19,20,21,22,22,19,20,24,25,25,26,18,21
Cluster of Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4 (FLNA_HUMAN),FLNA_HUMAN [3],1,0,0,0,0,0,1,1,0,0,0,0,19,14,21,28,15,19,26,24,22,27,39,36,62,59,59,57,43,46,21,26,29,27,19,23,32,41,47,48,38,39,53,54,44,41,41,40
Cluster of Tyrosine-protein kinase receptor UFO OS=Homo sapiens OX=9606 GN=AXL PE=1 SV=4 (UFO_HUMAN),UFO_HUMAN [2],0,0,0,0,0,0,0,0,0,0,0,0,15,19,17,16,11,13,22,20,21,20,22,17,19,20,24,24,23,21,13,11,17,15,17,17,20,19,18,17,18,18,22,21,22,23,21,20
60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,RL7_HUMAN,14,15,13,13,13,12,10,10,11,11,11,12,15,13,13,13,11,10,13,14,12,14,11,11,13,14,11,13,13,12,12,10,13,13,12,11,13,13,13,13,13,14,11,11,13,11,13,13
Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,AHNK_HUMAN,1,0,0,0,0,0,0,0,0,0,0,0,15,12,12,12,14,15,29,33,24,28,40,34,60,53,73,70,59,54,6,7,4,6,5,4,28,18,24,28,23,29,43,39,33,34,31,34
Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3,ACACB_HUMAN,14,20,6,6,10,11,9,9,9,11,8,10,8,6,12,9,10,10,3,4,0,0,2,2,11,6,7,4,9,5,8,8,7,11,11,11,2,3,5,5,3,5,8,8,7,6,4,6
Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2,H4_HUMAN,7,7,8,6,5,5,8,8,8,8,8,8,6,6,7,4,8,8,7,7,7,7,7,7,7,7,4,5,6,6,8,8,8,8,8,8,8,8,7,7,7,7,6,7,6,5,6,6
4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3,4F2_HUMAN,2,1,2,1,0,0,9,9,0,0,3,3,16,15,12,13,13,15,16,15,17,17,17,18,15,13,15,15,12,11,15,15,11,11,13,14,15,14,12,14,9,11,13,14,16,15,12,13
"Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4",K1C19_HUMAN,8,8,10,8,0,0,10,10,4,6,7,7,4,6,6,4,7,9,8,8,5,4,6,7,9,9,1,0,4,4,10,8,11,9,8,10,8,7,7,4,6,7,0,0,3,2,7,6
60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2,RL18_HUMAN,9,9,8,8,9,9,8,8,9,6,8,8,8,8,9,9,9,7,7,6,7,7,9,8,8,8,8,8,8,8,8,8,8,8,7,8,6,9,9,8,9,9,8,7,9,8,7,5
"Cluster of Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1 (ACTB_HUMAN)",ACTB_HUMAN [7],16,13,12,13,1,0,17,17,12,9,10,11,3,4,9,6,12,10,7,5,3,6,7,4,12,13,2,2,3,2,17,16,14,14,13,15,8,7,1,3,5,6,3,3,4,4,7,8
